ENDW,ACTS,REG,value
LAB,agr-a,USA,61528.90921878442
LAB,agr-a,E27,119417.42853766769
LAB,agr-a,ROW,1133207.0742510522
LAB,man-a,USA,1543856.2050857544
LAB,man-a,E27,1312344.6257338717
LAB,man-a,ROW,3835011.2709436216
LAB,srv-a,USA,7403392.009385645
LAB,srv-a,E27,3662978.003022982
LAB,srv-a,ROW,12189074.809775667
CAP,agr-a,USA,117235.49992609024
CAP,agr-a,E27,115193.7109979944
CAP,agr-a,ROW,1230726.6912354163
CAP,man-a,USA,810145.046081543
CAP,man-a,E27,1181434.7971228498
CAP,man-a,ROW,5939689.146487407
CAP,srv-a,USA,3103940.8405151367
CAP,srv-a,E27,4275785.536657232
CAP,srv-a,ROW,10622880.965244276
