ENDW,ACTS,REG,value
LAB,agr-a,USA,63732.58679794893
LAB,agr-a,E27,166812.21703255153
LAB,agr-a,ROW,1185137.4915032566
LAB,man-a,USA,1777339.658027649
LAB,man-a,E27,1878547.4479650003
LAB,man-a,ROW,4207311.903900024
LAB,srv-a,USA,8523036.017320812
LAB,srv-a,E27,5249607.948163389
LAB,srv-a,ROW,13614683.03358478
CAP,agr-a,USA,107464.7629032135
CAP,agr-a,E27,116647.73096004123
CAP,agr-a,ROW,1186734.8329153985
CAP,man-a,USA,836491.9351196289
CAP,man-a,E27,1199965.6103917793
CAP,man-a,ROW,6010090.741743311
CAP,srv-a,USA,3204884.757751465
CAP,srv-a,E27,4344886.758661033
CAP,srv-a,ROW,10802750.316573367
