ENDW,ACTS,REG,value
LAB,agr-a,USA,48386.30573378493
LAB,agr-a,E27,89733.43537445078
LAB,agr-a,ROW,1051944.075391279
LAB,man-a,USA,1214087.8202596249
LAB,man-a,E27,955321.9769153838
LAB,man-a,ROW,3472582.022322568
LAB,srv-a,USA,5822023.967756588
LAB,srv-a,E27,2678311.1997096804
LAB,srv-a,ROW,10777797.93903314
CAP,agr-a,USA,107691.28943468991
CAP,agr-a,E27,107507.94744397965
CAP,agr-a,ROW,1163250.5273425637
CAP,man-a,USA,744190.6946588898
CAP,man-a,E27,1106193.8839632513
CAP,man-a,ROW,5595069.716182108
CAP,srv-a,USA,2851247.3166876705
CAP,srv-a,E27,4009941.1733065406
CAP,srv-a,ROW,9880823.960523307
