COMM,SRC,DST,value
agr,USA,E27,6213.483985639156
agr,USA,ROW,92484.16687591079
agr,E27,USA,1758.4121979322194
agr,E27,E27,88303.3665984795
agr,E27,ROW,38674.02351347339
agr,ROW,USA,46136.50089212612
agr,ROW,E27,65069.90449999759
agr,ROW,ROW,224687.74879204558
man,USA,E27,240896.30412312344
man,USA,ROW,1144754.2599407148
man,E27,USA,316691.9122355918
man,E27,E27,2579400.8533961657
man,E27,ROW,1770770.9522617194
man,ROW,USA,1923332.2421139348
man,ROW,E27,1966645.3034442542
man,ROW,ROW,6297941.244434814
srv,USA,E27,146251.30939650995
srv,USA,ROW,281430.96102865494
srv,E27,USA,116109.86754635462
srv,E27,E27,621919.2622690744
srv,E27,ROW,556375.5887167032
srv,ROW,USA,272746.64167978783
srv,ROW,E27,539369.4641179304
srv,ROW,ROW,815971.0512673047
