COMM,ACTS,REG,value
agr,agr-a,USA,46907.44482705384
agr,agr-a,E27,44692.07060154612
agr,agr-a,ROW,406575.840950018
agr,man-a,USA,190828.23007566034
agr,man-a,E27,248549.29566914873
agr,man-a,ROW,1598397.190772771
agr,srv-a,USA,26006.237076813566
agr,srv-a,E27,38938.35432730808
agr,srv-a,ROW,219465.92957813086
man,agr-a,USA,77913.22105868818
man,agr-a,E27,70083.40742549859
man,agr-a,ROW,477729.9888500479
man,man-a,USA,2439197.23390135
man,man-a,E27,2743486.6843920434
man,man-a,ROW,12617637.479027454
man,srv-a,USA,1732425.2629931816
man,srv-a,E27,1637199.1797874079
man,srv-a,ROW,5674030.91462166
srv,agr-a,USA,106685.55739185077
srv,agr-a,E27,66424.1747136843
srv,agr-a,ROW,395898.3387177753
srv,man-a,USA,1509529.0453515635
srv,man-a,E27,1843656.0379040935
srv,man-a,ROW,5318030.137416395
srv,srv-a,USA,5243222.467513926
srv,srv-a,E27,5135226.75931608
srv,srv-a,ROW,10777438.55151095
