COMM,ACTS,REG,value
agr,agr-a,USA,45201.22846624642
agr,agr-a,E27,44679.597565367236
agr,agr-a,ROW,402013.3256019234
agr,man-a,USA,190828.23227697908
agr,man-a,E27,248549.2991514409
agr,man-a,ROW,1598397.1770292153
agr,srv-a,USA,26006.237565094816
agr,srv-a,E27,38938.35442742428
agr,srv-a,ROW,219465.92879464125
man,agr-a,USA,77330.81938525202
man,agr-a,E27,75428.22871096882
man,agr-a,ROW,483454.3696045291
man,man-a,USA,2451088.502818672
man,man-a,E27,2780076.4548508236
man,man-a,ROW,12685041.626141423
man,srv-a,USA,1776351.7546218955
man,srv-a,E27,1762564.7860699745
man,srv-a,ROW,5839523.889347312
srv,agr-a,USA,102869.42151281846
srv,agr-a,E27,67342.88434786384
srv,agr-a,ROW,392108.9720367328
srv,man-a,USA,1512862.1512395577
srv,man-a,E27,1878114.3036579974
srv,man-a,ROW,5344207.182168207
srv,srv-a,USA,5249891.550770745
srv,srv-a,E27,5160050.53666626
srv,srv-a,ROW,10795025.333315892
