COMM,SRC,DST,value
agr,USA,E27,6052.091448354281
agr,USA,ROW,81038.0132015595
agr,E27,USA,1547.6678941624382
agr,E27,E27,83938.24738438659
agr,E27,ROW,35728.44567161015
agr,ROW,USA,38374.251176402555
agr,ROW,E27,58519.313919351815
agr,ROW,ROW,197868.80551589385
man,USA,E27,235772.4638005028
man,USA,ROW,1089636.0423110097
man,E27,USA,306658.42614343646
man,E27,E27,2523312.27554976
man,E27,ROW,1706034.7304333132
man,ROW,USA,1837725.2266981883
man,ROW,E27,1884995.0078667663
man,ROW,ROW,5940529.014572344
srv,USA,E27,146251.30939650995
srv,USA,ROW,281430.9610286511
srv,E27,USA,116109.86754635462
srv,E27,E27,621919.2622690744
srv,E27,ROW,556375.5887167032
srv,ROW,USA,272746.64167978783
srv,ROW,E27,539369.4641179304
srv,ROW,ROW,815971.0512593153
