COMM,ACTS,REG,value
agr,agr-a,USA,1616.7778492284324
agr,agr-a,E27,14482.861480075017
agr,agr-a,ROW,33330.46655070114
agr,man-a,USA,20342.4533076259
agr,man-a,E27,75953.21468409552
agr,man-a,ROW,221952.95930647053
agr,srv-a,USA,7581.178956010858
agr,srv-a,E27,15219.993191476986
agr,srv-a,ROW,25106.62589039687
man,agr-a,USA,12764.252528746354
man,agr-a,E27,41486.230263380465
man,agr-a,ROW,121188.70695790322
man,man-a,USA,995542.6462761756
man,man-a,E27,2344201.0796711463
man,man-a,ROW,4734379.759909075
man,srv-a,USA,342295.27966289985
man,srv-a,E27,956533.5179296475
man,srv-a,ROW,1706825.2223769354
srv,agr-a,USA,1110.4365379556318
srv,agr-a,E27,7015.506013925709
srv,agr-a,ROW,13719.052057054496
srv,man-a,USA,32505.031070605557
srv,man-a,E27,212742.23368237866
srv,man-a,ROW,238840.30877332762
srv,srv-a,USA,262290.2194142823
srv,srv-a,E27,569969.3859930739
srv,srv-a,ROW,738964.3854059586
