COMM,ACTS,REG,value
agr,agr-a,USA,1552.4279086602237
agr,agr-a,E27,14478.804811221396
agr,agr-a,ROW,32882.29041141119
agr,man-a,USA,20342.453212213764
agr,man-a,E27,75953.21437034872
agr,man-a,ROW,221952.96098934655
agr,srv-a,USA,7581.179376074592
agr,srv-a,E27,15219.993362491145
agr,srv-a,ROW,25106.62618620047
man,agr-a,USA,12414.116917182433
man,agr-a,E27,43544.50993226621
man,agr-a,ROW,122783.94519080449
man,man-a,USA,999226.024584591
man,man-a,E27,2361562.5534590343
man,man-a,ROW,4756973.157036893
man,srv-a,USA,348047.5741529753
man,srv-a,E27,1010439.2707507468
man,srv-a,ROW,1750452.3634527198
srv,agr-a,USA,1066.2410729869505
srv,agr-a,E27,7124.069789022109
srv,agr-a,ROW,13676.71861128786
srv,man-a,USA,32505.031060353558
srv,man-a,E27,214995.14291161168
srv,man-a,ROW,239692.3227671453
srv,srv-a,USA,262290.21735911415
srv,srv-a,E27,571477.8975847405
srv,srv-a,ROW,740198.4057108957
