COMM,SRC,DST,value
agr,USA,E27,6411.882407822392
agr,USA,ROW,107621.84305912927
agr,E27,USA,1799.1739813976133
agr,E27,E27,88331.25194575604
agr,E27,ROW,42428.54234565033
agr,ROW,USA,46361.69984549441
agr,ROW,E27,66372.8517096167
agr,ROW,ROW,244339.47503442463
man,USA,E27,246048.92097912476
man,USA,ROW,1181929.1333611945
man,E27,USA,320968.37200894987
man,E27,E27,2579649.2021368057
man,E27,ROW,1851390.922523276
man,ROW,USA,1948435.0341728502
man,ROW,E27,1994364.8652418214
man,ROW,ROW,6556668.309119899
srv,USA,E27,146251.30939650995
srv,USA,ROW,281430.98962649377
srv,E27,USA,116109.86754635462
srv,E27,E27,621919.2622690744
srv,E27,ROW,556375.5976886756
srv,ROW,USA,272746.64167978783
srv,ROW,E27,539369.4641179304
srv,ROW,ROW,815998.6960470912
