MARG,COMM,SRC,DST,value
srv,agr,USA,E27,161.39254935585618
srv,agr,USA,ROW,11446.153692590371
srv,agr,E27,USA,210.74431825363064
srv,agr,E27,E27,4365.119143375723
srv,agr,E27,ROW,2945.578007217839
srv,agr,ROW,USA,7762.249396548274
srv,agr,ROW,E27,6550.5906756859395
srv,agr,ROW,ROW,26818.9433342292
srv,man,USA,E27,5123.840422875359
srv,man,USA,ROW,55118.2199051554
srv,man,E27,USA,10033.487860072255
srv,man,E27,E27,56088.57804039684
srv,man,E27,ROW,64736.21961433152
srv,man,ROW,USA,85607.00901140223
srv,man,ROW,E27,81650.29406353334
srv,man,ROW,ROW,357412.2336296517
