COMM,SRC,DST,value
agr,USA,E27,6052.091153645401
agr,USA,ROW,81038.01212109123
agr,E27,USA,1549.8982805132077
agr,E27,E27,83945.01645727789
agr,E27,ROW,35828.80031992723
agr,ROW,USA,38378.30215135121
agr,ROW,E27,58530.889393100646
agr,ROW,ROW,197963.447692508
man,USA,E27,234714.12862813566
man,USA,ROW,1086580.0336599816
man,E27,USA,306674.19936725457
man,E27,E27,2523332.9220394036
man,E27,ROW,1708455.5821191645
man,ROW,USA,1800960.3666063475
man,ROW,E27,1786328.092720672
man,ROW,ROW,5829395.715993952
srv,USA,E27,146251.30939650995
srv,USA,ROW,281430.9610286511
srv,E27,USA,116109.86754635462
srv,E27,E27,621919.2622690744
srv,E27,ROW,556375.5887167032
srv,ROW,USA,272746.64167978783
srv,ROW,E27,539369.4641179304
srv,ROW,ROW,815971.0512593153
