Sim,Var,Reg,RLab,CLab,Year,Value
COMP,QO,USA,agr-a,,Comp,412476.3245134457
COMP,QO,USA,agr-a,,Base,411631.6049643089
COMP,PO,USA,agr-a,,Comp,1.1990790126375241
COMP,PO,USA,agr-a,,Base,1.0
COMP,QCA,USA,agr,agr-a,Comp,412476.3246709147
COMP,QCA,USA,agr,agr-a,Base,411631.604964309
COMP,PS,USA,agr,agr-a,Comp,1.1990790125914348
COMP,PS,USA,agr,agr-a,Base,1.0
COMP,PCA,USA,agr,agr-a,Comp,1.2028800603123988
COMP,PCA,USA,agr,agr-a,Base,1.0031699742757798
COMP,QCA,USA,man,agr-a,Comp,0.0
COMP,QCA,USA,man,agr-a,Base,0.0
COMP,PS,USA,man,agr-a,Comp,1.0
COMP,PS,USA,man,agr-a,Base,1.0
COMP,PCA,USA,man,agr-a,Comp,1.0
COMP,PCA,USA,man,agr-a,Base,1.0
COMP,QCA,USA,srv,agr-a,Comp,0.0
COMP,QCA,USA,srv,agr-a,Base,0.0
COMP,PS,USA,srv,agr-a,Comp,1.0
COMP,PS,USA,srv,agr-a,Base,1.0
COMP,PCA,USA,srv,agr-a,Comp,1.0
COMP,PCA,USA,srv,agr-a,Base,1.0
COMP,QO,USA,man-a,,Comp,7.816238592180079e6
COMP,QO,USA,man-a,,Base,7.820683988339646e6
COMP,PO,USA,man-a,,Comp,1.1986731637911618
COMP,PO,USA,man-a,,Base,1.0
COMP,QCA,USA,agr,man-a,Comp,0.0
COMP,QCA,USA,agr,man-a,Base,0.0
COMP,PS,USA,agr,man-a,Comp,1.0
COMP,PS,USA,agr,man-a,Base,1.0
COMP,PCA,USA,agr,man-a,Comp,1.0
COMP,PCA,USA,agr,man-a,Base,1.0
COMP,QCA,USA,man,man-a,Comp,7.816238594351757e6
COMP,QCA,USA,man,man-a,Base,7.820683988339645e6
COMP,PS,USA,man,man-a,Comp,1.1986731637674652
COMP,PS,USA,man,man-a,Base,1.0
COMP,PCA,USA,man,man-a,Comp,1.212323545514219
COMP,PCA,USA,man,man-a,Base,1.0113879112553514
COMP,QCA,USA,srv,man-a,Comp,0.0
COMP,QCA,USA,srv,man-a,Base,0.0
COMP,PS,USA,srv,man-a,Comp,1.0
COMP,PS,USA,srv,man-a,Base,1.0
COMP,PCA,USA,srv,man-a,Comp,1.0
COMP,PCA,USA,srv,man-a,Base,1.0
COMP,QO,USA,srv-a,,Comp,1.939989529707783e7
COMP,QO,USA,srv-a,,Base,1.9398089288918175e7
COMP,PO,USA,srv-a,,Comp,1.1992787820899355
COMP,PO,USA,srv-a,,Base,1.0
COMP,QCA,USA,agr,srv-a,Comp,0.0
COMP,QCA,USA,agr,srv-a,Base,0.0
COMP,PS,USA,agr,srv-a,Comp,1.0
COMP,PS,USA,agr,srv-a,Base,1.0
COMP,PCA,USA,agr,srv-a,Comp,1.0
COMP,PCA,USA,agr,srv-a,Base,1.0
COMP,QCA,USA,man,srv-a,Comp,0.0
COMP,QCA,USA,man,srv-a,Base,0.0
COMP,PS,USA,man,srv-a,Comp,1.0
COMP,PS,USA,man,srv-a,Base,1.0
COMP,PCA,USA,man,srv-a,Comp,1.0
COMP,PCA,USA,man,srv-a,Base,1.0
COMP,QCA,USA,srv,srv-a,Comp,1.9399895295291353e7
COMP,QCA,USA,srv,srv-a,Base,1.939808928891818e7
COMP,PS,USA,srv,srv-a,Comp,1.1992787820978985
COMP,PS,USA,srv,srv-a,Base,1.0
COMP,PCA,USA,srv,srv-a,Comp,1.233567205446604
COMP,PCA,USA,srv,srv-a,Base,1.0285908712933562
COMP,QC,USA,agr,,Comp,413783.86281761184
COMP,QC,USA,agr,,Base,412936.4665631438
COMP,PDS,USA,agr,,Comp,1.1990790125969368
COMP,PDS,USA,agr,,Base,1.0
COMP,QC,USA,man,,Comp,7.905249202092623e6
COMP,QC,USA,man,,Base,7.909745243555005e6
COMP,PDS,USA,man,,Comp,1.1986731637730765
COMP,PDS,USA,man,,Base,1.0
COMP,QC,USA,srv,,Comp,1.995455513889581e7
COMP,QC,USA,srv,,Base,1.9952697563114673e7
COMP,PDS,USA,srv,,Comp,1.199278782103402
COMP,PDS,USA,srv,,Base,1.0
COMP,QO,E27,agr-a,,Comp,536016.3499542325
COMP,QO,E27,agr-a,,Base,536058.0431493024
COMP,PO,E27,agr-a,,Comp,1.1983017988846354
COMP,PO,E27,agr-a,,Base,1.0
COMP,QCA,E27,agr,agr-a,Comp,536016.3499378996
COMP,QCA,E27,agr,agr-a,Base,536058.0431493024
COMP,PS,E27,agr,agr-a,Comp,1.1983017988842573
COMP,PS,E27,agr,agr-a,Base,1.0
COMP,PCA,E27,agr,agr-a,Comp,1.2023114082803497
