COMM,REG,value
FRS,CHN,2.5
FRS,XEA,2.499999999999999
FRS,USA,2.5
FRS,RUS,2.5
FRS,EUR,2.4999999999999996
FRS,XOE,2.5
FRS,OPC,2.5
FRS,SAS,2.5000000000000004
FRS,XLC,2.4999999999999996
FRS,ROW,2.5000000000000004
COA,CHN,3.049999952316284
COA,XEA,3.0499999523162846
COA,USA,3.049999952316284
COA,RUS,3.0499999523162846
COA,EUR,3.049999952316285
COA,XOE,3.0499999523162846
COA,OPC,3.0499999523162846
COA,SAS,3.0499999523162837
COA,XLC,3.049999952316284
COA,ROW,3.0499999523162833
OIL,CHN,5.199999809265137
OIL,XEA,5.199999809265135
OIL,USA,5.199999809265137
OIL,RUS,5.199999809265137
OIL,EUR,5.1999998092651385
OIL,XOE,5.199999809265137
OIL,OPC,5.199999809265137
OIL,SAS,5.199999809265139
OIL,XLC,5.199999809265138
OIL,ROW,5.199999809265133
GAS,CHN,12.402526454739267
GAS,XEA,9.081627641907508
GAS,USA,7.280834748999466
GAS,RUS,11.794819089243338
GAS,EUR,12.957903947665924
GAS,XOE,15.548068761931003
GAS,OPC,12.738643006881427
GAS,SAS,9.644433144412188
GAS,XLC,11.584998943781775
GAS,ROW,13.547782747017134
P_C,CHN,2.0999999046325684
P_C,XEA,2.0999999046325684
P_C,USA,2.0999999046325684
P_C,RUS,2.0999999046325684
P_C,EUR,2.0999999046325684
P_C,XOE,2.099999904632568
P_C,OPC,2.0999999046325684
P_C,SAS,2.099999904632569
P_C,XLC,2.0999999046325675
P_C,ROW,2.0999999046325697
AGR,CHN,2.2350529886977966
AGR,XEA,2.7019681210657853
AGR,USA,2.1356810756225326
AGR,RUS,2.241797212303002
AGR,EUR,2.5122876594776833
AGR,XOE,2.601422160555339
AGR,OPC,2.48850215830541
AGR,SAS,2.9627614818980597
AGR,XLC,2.3788868520429456
AGR,ROW,2.473203299733155
OXT,CHN,0.899999976158142
OXT,XEA,0.899999976158142
OXT,USA,0.8999999761581421
OXT,RUS,0.8999999761581421
OXT,EUR,0.8999999761581423
OXT,XOE,0.899999976158142
OXT,OPC,0.8999999761581422
OXT,SAS,0.8999999761581421
OXT,XLC,0.899999976158142
OXT,ROW,0.8999999761581423
EIT,CHN,3.2378545002141546
EIT,XEA,3.267298594790856
EIT,USA,3.229889681601725
EIT,RUS,3.2340485900674945
EIT,EUR,3.2376726337022936
EIT,XOE,3.2209480794915213
EIT,OPC,3.1979935569558524
EIT,SAS,3.323010791147827
EIT,XLC,3.224105581375257
EIT,ROW,3.2104869777136003
XMN,CHN,3.5382629732611055
XMN,XEA,3.508513685125694
XMN,USA,3.5503373376392964
XMN,RUS,3.437023822234185
XMN,EUR,3.4518927022427532
XMN,XOE,3.3918733324858628
XMN,OPC,3.385135740392364
XMN,SAS,3.3735497157561607
XMN,XLC,3.26807278470192
XMN,ROW,3.3597776399092067
SRV,CHN,1.9040525921861127
SRV,XEA,1.9036937471734343
SRV,USA,1.9066369933937033
SRV,RUS,1.9130525632359847
SRV,EUR,1.903657747190083
SRV,XOE,1.9042597342595182
SRV,OPC,1.9137235054173116
SRV,SAS,1.9036550891142188
SRV,XLC,1.903774459409138
SRV,ROW,1.907943082189059
ELY,CHN,2.799999952316284
ELY,XEA,2.7999999523162846
ELY,USA,2.7999999523162837
ELY,RUS,2.799999952316285
ELY,EUR,2.799999952316284
ELY,XOE,2.799999952316284
ELY,OPC,2.7999999523162837
ELY,SAS,2.799999952316284
ELY,XLC,2.7999999523162837
ELY,ROW,2.799999952316284
