COMM,REG,value
FRS,CHN,5.0
FRS,XEA,5.0
FRS,USA,5.0
FRS,RUS,5.0
FRS,EUR,5.0
FRS,XOE,5.0
FRS,OPC,4.999999999999999
FRS,SAS,4.999999999999999
FRS,XLC,4.999999999999997
FRS,ROW,5.000000000000004
COA,CHN,6.099999904632568
COA,XEA,6.099999904632567
COA,USA,6.099999904632568
COA,RUS,6.099999904632568
COA,EUR,6.099999904632567
COA,XOE,6.099999904632568
COA,OPC,6.099999904632569
COA,SAS,6.099999904632569
COA,XLC,6.099999904632568
COA,ROW,6.099999904632567
OIL,CHN,10.399999618530273
OIL,XEA,10.399999618530275
OIL,USA,10.399999618530273
OIL,RUS,10.399999618530273
OIL,EUR,10.399999618530275
OIL,XOE,10.399999618530273
OIL,OPC,10.399999618530273
OIL,SAS,10.399999618530275
OIL,XLC,10.399999618530275
OIL,ROW,10.399999618530272
GAS,CHN,34.30402668960558
GAS,XEA,28.083816169556226
GAS,USA,33.04537141963043
GAS,RUS,9.072326949985651
GAS,EUR,30.963487700222426
GAS,XOE,33.831916072767086
GAS,OPC,22.978376739824373
GAS,SAS,34.002707409486625
GAS,XLC,33.176218769804095
GAS,ROW,32.19526125667815
P_C,CHN,4.199999809265137
P_C,XEA,4.199999809265137
P_C,USA,4.199999809265137
P_C,RUS,4.199999809265137
P_C,EUR,4.199999809265138
P_C,XOE,4.199999809265137
P_C,OPC,4.199999809265138
P_C,SAS,4.199999809265137
P_C,XLC,4.199999809265136
P_C,ROW,4.199999809265136
AGR,CHN,5.120433765943724
AGR,XEA,4.997713535114032
AGR,USA,4.678344518561477
AGR,RUS,4.317422424980752
AGR,EUR,4.904261542985186
AGR,XOE,4.376739794255074
AGR,OPC,5.418880626505989
AGR,SAS,5.114582762879194
AGR,XLC,4.843687532296842
AGR,ROW,5.90647811000151
OXT,CHN,1.7999999523162842
OXT,XEA,1.7999999523162842
OXT,USA,1.7999999523162842
OXT,RUS,1.7999999523162842
OXT,EUR,1.7999999523162846
OXT,XOE,1.799999952316284
OXT,OPC,1.7999999523162842
OXT,SAS,1.7999999523162844
OXT,XLC,1.799999952316284
OXT,ROW,1.799999952316284
EIT,CHN,6.836156861666491
EIT,XEA,6.738113551697669
EIT,USA,6.715086327488098
EIT,RUS,6.483818843221756
EIT,EUR,6.725394193490504
EIT,XOE,6.755062770800501
EIT,OPC,6.5195145648457205
EIT,SAS,7.154646318661351
EIT,XLC,6.534548809083021
EIT,ROW,6.553390931404864
XMN,CHN,7.728251469405193
XMN,XEA,7.705683724302755
XMN,USA,7.415355525105503
XMN,RUS,7.132671675958433
XMN,EUR,7.190549018856941
XMN,XOE,7.2848779060763125
XMN,OPC,7.2048740984105635
XMN,SAS,7.537922913487697
XMN,XLC,7.283758711165374
XMN,ROW,7.173975100495485
SRV,CHN,3.8021978508494687
SRV,XEA,3.8022821976593217
SRV,USA,3.801916524592042
SRV,RUS,3.802909418164967
SRV,EUR,3.802113724933611
SRV,XOE,3.802455975817328
SRV,OPC,3.8023049559298516
SRV,SAS,3.801413306610406
SRV,XLC,3.8029018306726097
SRV,ROW,3.8023530333296587
ELY,CHN,5.599999904632568
ELY,XEA,5.599999904632569
ELY,USA,5.599999904632567
ELY,RUS,5.599999904632569
ELY,EUR,5.599999904632569
ELY,XOE,5.5999999046325675
ELY,OPC,5.5999999046325675
ELY,SAS,5.599999904632568
ELY,XLC,5.59999990463257
ELY,ROW,5.599999904632568
