COMM,REG,value
FRS,CHN,inf
FRS,XEA,inf
FRS,USA,inf
FRS,RUS,inf
FRS,EUR,inf
FRS,XOE,inf
FRS,OPC,inf
FRS,SAS,inf
FRS,XLC,inf
FRS,ROW,inf
COA,CHN,inf
COA,XEA,inf
COA,USA,inf
COA,RUS,inf
COA,EUR,inf
COA,XOE,inf
COA,OPC,inf
COA,SAS,inf
COA,XLC,inf
COA,ROW,inf
OIL,CHN,inf
OIL,XEA,inf
OIL,USA,inf
OIL,RUS,inf
OIL,EUR,inf
OIL,XOE,inf
OIL,OPC,inf
OIL,SAS,inf
OIL,XLC,inf
OIL,ROW,inf
GAS,CHN,inf
GAS,XEA,inf
GAS,USA,inf
GAS,RUS,inf
GAS,EUR,inf
GAS,XOE,inf
GAS,OPC,inf
GAS,SAS,inf
GAS,XLC,inf
GAS,ROW,inf
P_C,CHN,inf
P_C,XEA,inf
P_C,USA,inf
P_C,RUS,inf
P_C,EUR,inf
P_C,XOE,inf
P_C,OPC,inf
P_C,SAS,inf
P_C,XLC,inf
P_C,ROW,inf
AGR,CHN,inf
AGR,XEA,inf
AGR,USA,inf
AGR,RUS,inf
AGR,EUR,inf
AGR,XOE,inf
AGR,OPC,inf
AGR,SAS,inf
AGR,XLC,inf
AGR,ROW,inf
OXT,CHN,inf
OXT,XEA,inf
OXT,USA,inf
OXT,RUS,inf
OXT,EUR,inf
OXT,XOE,inf
OXT,OPC,inf
OXT,SAS,inf
OXT,XLC,inf
OXT,ROW,inf
EIT,CHN,inf
EIT,XEA,inf
EIT,USA,inf
EIT,RUS,inf
EIT,EUR,inf
EIT,XOE,inf
EIT,OPC,inf
EIT,SAS,inf
EIT,XLC,inf
EIT,ROW,inf
XMN,CHN,inf
XMN,XEA,inf
XMN,USA,inf
XMN,RUS,inf
XMN,EUR,inf
XMN,XOE,inf
XMN,OPC,inf
XMN,SAS,inf
XMN,XLC,inf
XMN,ROW,inf
SRV,CHN,inf
SRV,XEA,inf
SRV,USA,inf
SRV,RUS,inf
SRV,EUR,inf
SRV,XOE,inf
SRV,OPC,inf
SRV,SAS,inf
SRV,XLC,inf
SRV,ROW,inf
ELY,CHN,inf
ELY,XEA,inf
ELY,USA,inf
ELY,RUS,inf
ELY,EUR,inf
ELY,XOE,inf
ELY,OPC,inf
ELY,SAS,inf
ELY,XLC,inf
ELY,ROW,inf
