ACTS,REG,value
AGR-a,CHN,5.0
AGR-a,XEA,5.0
AGR-a,USA,5.0
AGR-a,RUS,5.0
AGR-a,EUR,5.0
AGR-a,XOE,5.0
AGR-a,OPC,5.0
AGR-a,SAS,5.0
AGR-a,XLC,5.000000000000001
AGR-a,ROW,5.0
FRS-a,CHN,4.999999999999999
FRS-a,XEA,5.0
FRS-a,USA,5.0
FRS-a,RUS,5.0
FRS-a,EUR,5.0
FRS-a,XOE,5.0
FRS-a,OPC,5.0
FRS-a,SAS,5.0
FRS-a,XLC,5.0
FRS-a,ROW,5.0
COA-a,CHN,5.0
COA-a,XEA,5.0
COA-a,USA,5.0
COA-a,RUS,5.0
COA-a,EUR,5.0
COA-a,XOE,5.000000000000001
COA-a,OPC,5.0
COA-a,SAS,5.0
COA-a,XLC,5.0
COA-a,ROW,5.0
OIL-a,CHN,4.999999999999999
OIL-a,XEA,5.0
OIL-a,USA,5.0
OIL-a,RUS,5.0
OIL-a,EUR,5.0
OIL-a,XOE,5.0
OIL-a,OPC,5.0
OIL-a,SAS,5.0
OIL-a,XLC,5.0
OIL-a,ROW,5.0
GAS-a,CHN,5.0
GAS-a,XEA,5.0
GAS-a,USA,5.0
GAS-a,RUS,5.0
GAS-a,EUR,5.0
GAS-a,XOE,5.0
GAS-a,OPC,5.0
GAS-a,SAS,5.0
GAS-a,XLC,5.0
GAS-a,ROW,5.0
OXT-a,CHN,5.0
OXT-a,XEA,5.0
OXT-a,USA,5.0
OXT-a,RUS,5.0
OXT-a,EUR,5.0
OXT-a,XOE,5.0
OXT-a,OPC,5.0
OXT-a,SAS,5.0
OXT-a,XLC,5.0
OXT-a,ROW,5.0
EIT-a,CHN,5.0
EIT-a,XEA,5.0
EIT-a,USA,5.0
EIT-a,RUS,5.0
EIT-a,EUR,5.0
EIT-a,XOE,5.0
EIT-a,OPC,5.0
EIT-a,SAS,5.0
EIT-a,XLC,5.0
EIT-a,ROW,5.0
XMN-a,CHN,5.0
XMN-a,XEA,5.0
XMN-a,USA,5.0
XMN-a,RUS,5.0
XMN-a,EUR,5.0
XMN-a,XOE,5.0
XMN-a,OPC,5.0
XMN-a,SAS,5.0
XMN-a,XLC,5.0
XMN-a,ROW,5.0
P_C-a,CHN,5.0
P_C-a,XEA,5.0
P_C-a,USA,5.0
P_C-a,RUS,5.0
P_C-a,EUR,5.0
P_C-a,XOE,5.000000000000001
P_C-a,OPC,5.0
P_C-a,SAS,5.0
P_C-a,XLC,5.0
P_C-a,ROW,5.0
ETD-a,CHN,5.0
ETD-a,XEA,5.0
ETD-a,USA,5.0
ETD-a,RUS,5.0
ETD-a,EUR,5.0
ETD-a,XOE,5.0
ETD-a,OPC,5.0
ETD-a,SAS,5.000000000000001
ETD-a,XLC,5.0
ETD-a,ROW,5.0
CLP-a,CHN,5.0
CLP-a,XEA,5.0
CLP-a,USA,5.0
CLP-a,RUS,5.0
CLP-a,EUR,5.0
CLP-a,XOE,5.0
CLP-a,OPC,5.0
CLP-a,SAS,5.0
CLP-a,XLC,5.0
CLP-a,ROW,5.0
OLP-a,CHN,5.0
OLP-a,XEA,4.999999999999999
OLP-a,USA,5.0
OLP-a,RUS,5.0
OLP-a,EUR,5.0
OLP-a,XOE,5.0
OLP-a,OPC,5.0
OLP-a,SAS,5.0
OLP-a,XLC,5.0
OLP-a,ROW,5.0
GSP-a,CHN,5.0
GSP-a,XEA,5.0
GSP-a,USA,5.0
GSP-a,RUS,5.0
GSP-a,EUR,5.0
GSP-a,XOE,5.0
GSP-a,OPC,5.0
GSP-a,SAS,5.0
GSP-a,XLC,5.0
GSP-a,ROW,5.0
NUC-a,CHN,5.0
NUC-a,XEA,5.0
NUC-a,USA,5.0
NUC-a,RUS,5.0
NUC-a,EUR,5.0
NUC-a,XOE,5.0
NUC-a,OPC,5.0
NUC-a,SAS,5.0
NUC-a,XLC,5.0
NUC-a,ROW,5.0
HYD-a,CHN,5.0
HYD-a,XEA,5.000000000000001
HYD-a,USA,5.0
HYD-a,RUS,5.0
HYD-a,EUR,5.0
HYD-a,XOE,5.0
HYD-a,OPC,5.0
HYD-a,SAS,5.0
HYD-a,XLC,5.0
HYD-a,ROW,5.0
SOL-a,CHN,5.0
SOL-a,XEA,5.0
SOL-a,USA,5.0
SOL-a,EUR,5.0
SOL-a,XOE,5.0
SOL-a,SAS,5.0
SOL-a,XLC,5.0
SOL-a,ROW,5.0
WND-a,CHN,5.0
WND-a,XEA,5.0
WND-a,USA,5.0
WND-a,RUS,5.0
WND-a,EUR,5.0
WND-a,XOE,4.999999999999999
WND-a,OPC,5.0
WND-a,SAS,5.0
WND-a,XLC,5.0
WND-a,ROW,5.0
XEL-a,CHN,5.0
XEL-a,XEA,5.0
XEL-a,USA,4.999999999999999
XEL-a,RUS,5.0
XEL-a,EUR,5.0
XEL-a,XOE,5.0
XEL-a,OPC,5.0
XEL-a,SAS,5.0
XEL-a,XLC,5.0
XEL-a,ROW,5.0
SRV-a,CHN,5.0
SRV-a,XEA,5.0
SRV-a,USA,5.0
SRV-a,RUS,4.999999999999999
SRV-a,EUR,5.0
SRV-a,XOE,5.0
SRV-a,OPC,5.0
SRV-a,SAS,5.0
SRV-a,XLC,5.0
SRV-a,ROW,5.0
