COMM,REG,value
FRS,CHN,0.5791913270950317
FRS,XEA,0.6569694572083961
FRS,USA,0.14426089823246002
FRS,RUS,0.4235546290874481
FRS,EUR,0.22715592387865255
FRS,XOE,0.16709669667922694
FRS,OPC,0.6485173553361281
FRS,SAS,0.7831573330426967
FRS,XLC,0.5318693613295571
FRS,ROW,0.7064208275441058
COA,CHN,0.5550013780593872
COA,XEA,0.7112843202510516
COA,RUS,0.4188733696937561
COA,EUR,0.3433245863124621
COA,XOE,0.29556993504278783
COA,OPC,0.44520316748966177
COA,SAS,0.7276418985681469
COA,ROW,0.4946599675236522
OIL,XEA,0.7383949991763951
OIL,EUR,0.1893115618913265
OIL,ROW,0.6851962773443057
GAS,CHN,0.5550013780593872
GAS,XEA,0.31263347873383307
GAS,USA,0.14364004135131836
GAS,RUS,0.41887336969375605
GAS,EUR,0.20547118269714043
GAS,XOE,0.19818141050168767
GAS,OPC,0.5163429842997398
GAS,SAS,0.7613663609984415
GAS,XLC,0.4396773396645381
GAS,ROW,0.6131187845449879
P_C,CHN,0.5948690176010132
P_C,XEA,0.5903457090551504
P_C,USA,0.1555662900209427
P_C,RUS,0.45613113045692444
P_C,EUR,0.2275281436044255
P_C,XOE,0.18314787911665315
P_C,OPC,0.4963730078175565
P_C,SAS,0.7407883195626722
P_C,XLC,0.5260991743912451
P_C,ROW,0.5743036013716375
AGR,CHN,0.7657866834896697
AGR,XEA,0.836261801861803
AGR,USA,0.872775583436055
AGR,RUS,0.8041628291974631
AGR,EUR,0.9450761427715473
AGR,XOE,0.9194426835237932
AGR,OPC,0.8545334469622113
AGR,SAS,0.8264053950306555
AGR,XLC,0.8511814692165671
AGR,ROW,0.8583402508587912
OXT,CHN,0.5791913270950317
OXT,XEA,0.6117457546793421
OXT,USA,0.14426089823246002
OXT,RUS,0.4235546290874481
OXT,EUR,0.16611198871253188
OXT,XOE,0.16363030724317412
OXT,OPC,0.5146854113945258
OXT,SAS,0.7603853868593298
OXT,XLC,0.5588176011460175
OXT,ROW,0.6708981103398296
EIT,CHN,0.5791913270950317
EIT,XEA,0.5322282697768971
EIT,USA,0.14426089823246002
EIT,RUS,0.4235546290874482
EIT,EUR,0.20510372645688482
EIT,XOE,0.15468301776769838
EIT,OPC,0.4177962160607182
EIT,SAS,0.7717904334781094
EIT,XLC,0.4952225170831144
EIT,ROW,0.5853628595327471
XMN,CHN,0.696326216338473
XMN,XEA,0.6443599148600603
XMN,USA,0.19956211139034266
XMN,RUS,0.5725429184574964
XMN,EUR,0.2849349216432028
XMN,XOE,0.27668740560786387
XMN,OPC,0.5847439018059472
XMN,SAS,0.8085945766442262
XMN,XLC,0.6440189376455211
XMN,ROW,0.6847155095480678
SRV,CHN,0.5122615772227238
SRV,XEA,0.46101486902802546
SRV,USA,0.14563735466991332
SRV,RUS,0.3956501191718621
SRV,EUR,0.18359330463903278
SRV,XOE,0.15156070412304917
SRV,OPC,0.4094164121855591
SRV,SAS,0.6734804298998721
SRV,XLC,0.4555699039890628
SRV,ROW,0.4882942907327522
ELY,CHN,0.5550013780593872
ELY,XEA,0.5439134607209958
ELY,USA,0.14364004135131833
ELY,RUS,0.41887336969375616
ELY,EUR,0.2032729097738139
ELY,XOE,0.15888000148059545
ELY,OPC,0.41074272096004755
ELY,SAS,0.737143451812858
ELY,XLC,0.4949622707288584
ELY,ROW,0.5651754009548761
