"ACTS","REG","value"
"AGR-a","CHN",0.0000000000
"AGR-a","XEA",0.0000000000
"AGR-a","USA",0.0000000000
"AGR-a","RUS",0.0000000000
"AGR-a","EUR",0.0000000000
"AGR-a","XOE",0.0000000000
"AGR-a","OPC",0.0000000000
"AGR-a","SAS",0.0000000000
"AGR-a","XLC",0.0000000000
"AGR-a","ROW",0.0000000000
"FRS-a","CHN",0.0000000000
"FRS-a","XEA",0.0000000000
"FRS-a","USA",0.0000000000
"FRS-a","RUS",0.0000000000
"FRS-a","EUR",0.0000000000
"FRS-a","XOE",0.0000000000
"FRS-a","OPC",0.0000000000
"FRS-a","SAS",0.0000000000
"FRS-a","XLC",0.0000000000
"FRS-a","ROW",0.0000000000
"COA-a","CHN",0.0000000000
"COA-a","XEA",0.0000000000
"COA-a","USA",0.0000000000
"COA-a","RUS",0.0000000000
"COA-a","EUR",0.0000000000
"COA-a","XOE",0.0000000000
"COA-a","OPC",0.0000000000
"COA-a","SAS",0.0000000000
"COA-a","XLC",0.0000000000
"COA-a","ROW",0.0000000000
"OIL-a","CHN",0.0000000000
"OIL-a","XEA",0.0000000000
"OIL-a","USA",0.0000000000
"OIL-a","RUS",0.0000000000
"OIL-a","EUR",0.0000000000
"OIL-a","XOE",0.0000000000
"OIL-a","OPC",0.0000000000
"OIL-a","SAS",0.0000000000
"OIL-a","XLC",0.0000000000
"OIL-a","ROW",0.0000000000
"GAS-a","CHN",0.0000000000
"GAS-a","XEA",0.0000000000
"GAS-a","USA",0.0000000000
"GAS-a","RUS",0.0000000000
"GAS-a","EUR",0.0000000000
"GAS-a","XOE",0.0000000000
"GAS-a","OPC",0.0000000000
"GAS-a","SAS",0.0000000000
"GAS-a","XLC",0.0000000000
"GAS-a","ROW",0.0000000000
"OXT-a","CHN",0.0000000000
"OXT-a","XEA",0.0000000000
"OXT-a","USA",0.0000000000
"OXT-a","RUS",0.0000000000
"OXT-a","EUR",0.0000000000
"OXT-a","XOE",0.0000000000
"OXT-a","OPC",0.0000000000
"OXT-a","SAS",0.0000000000
"OXT-a","XLC",0.0000000000
"OXT-a","ROW",0.0000000000
"EIT-a","CHN",0.0000000000
"EIT-a","XEA",0.0000000000
"EIT-a","USA",0.0000000000
"EIT-a","RUS",0.0000000000
"EIT-a","EUR",0.0000000000
"EIT-a","XOE",0.0000000000
"EIT-a","OPC",0.0000000000
