ACTS,REG,value
AGR-a,CHN,0.2639060318470001
AGR-a,XEA,0.2639060318470002
AGR-a,USA,0.2639060318470001
AGR-a,RUS,0.26390603184700007
AGR-a,EUR,0.2639060318470001
AGR-a,XOE,0.26390603184700007
AGR-a,OPC,0.2639060318470001
AGR-a,SAS,0.2639060318470002
AGR-a,XLC,0.2639060318470001
AGR-a,ROW,0.26390603184700023
FRS-a,CHN,0.20000000298023224
FRS-a,XEA,0.20000000298023232
FRS-a,USA,0.2000000029802322
FRS-a,RUS,0.20000000298023227
FRS-a,EUR,0.20000000298023227
FRS-a,XOE,0.2000000029802322
FRS-a,OPC,0.2000000029802322
FRS-a,SAS,0.20000000298023227
FRS-a,XLC,0.2000000029802322
FRS-a,ROW,0.2000000029802322
COA-a,CHN,0.20000000298023224
COA-a,XEA,0.20000000298023216
COA-a,USA,0.20000000298023224
COA-a,RUS,0.2000000029802322
COA-a,EUR,0.2000000029802322
COA-a,XOE,0.20000000298023224
COA-a,OPC,0.20000000298023235
COA-a,SAS,0.20000000298023227
COA-a,XLC,0.20000000298023243
COA-a,ROW,0.20000000298023218
OIL-a,CHN,0.20000000298023224
OIL-a,XEA,0.2000000029802323
OIL-a,USA,0.20000000298023224
OIL-a,RUS,0.20000000298023227
OIL-a,EUR,0.20000000298023224
OIL-a,XOE,0.20000000298023224
OIL-a,OPC,0.2000000029802323
OIL-a,SAS,0.20000000298023235
OIL-a,XLC,0.20000000298023227
OIL-a,ROW,0.20000000298023224
GAS-a,CHN,1.0567852851900452
GAS-a,XEA,0.5538659981118728
GAS-a,USA,0.9371308929048134
GAS-a,RUS,0.7306790388989055
GAS-a,EUR,0.5057894411091335
GAS-a,XOE,0.3698718008295844
GAS-a,OPC,0.3770858456975679
GAS-a,SAS,0.8680287728751606
GAS-a,XLC,0.4455693715654321
GAS-a,ROW,0.561406487515812
OXT-a,CHN,0.20000000298023218
OXT-a,XEA,0.2000000029802322
OXT-a,USA,0.20000000298023227
OXT-a,RUS,0.20000000298023224
OXT-a,EUR,0.20000000298023213
OXT-a,XOE,0.2000000029802323
OXT-a,OPC,0.20000000298023227
OXT-a,SAS,0.2000000029802322
OXT-a,XLC,0.2000000029802323
OXT-a,ROW,0.20000000298023224
EIT-a,CHN,1.2599999904632568
EIT-a,XEA,1.2599999904632568
EIT-a,USA,1.2599999904632568
EIT-a,RUS,1.2599999904632566
EIT-a,EUR,1.2599999904632566
EIT-a,XOE,1.2599999904632568
EIT-a,OPC,1.2599999904632564
EIT-a,SAS,1.2599999904632566
EIT-a,XLC,1.259999990463257
EIT-a,ROW,1.2599999904632566
XMN-a,CHN,1.1902824075615681
XMN-a,XEA,1.1613553857164387
XMN-a,USA,1.2317817036510899
XMN-a,RUS,1.190079909087566
XMN-a,EUR,1.2225454084687175
XMN-a,XOE,1.2191296896892683
XMN-a,OPC,1.1892847020345778
XMN-a,SAS,1.1423822038885387
XMN-a,XLC,1.1890718004440262
XMN-a,ROW,1.1848176001274071
P_C-a,CHN,1.2599999904632568
P_C-a,XEA,1.2599999904632566
P_C-a,USA,1.2599999904632568
P_C-a,RUS,1.2599999904632568
P_C-a,EUR,1.2599999904632564
P_C-a,XOE,1.2599999904632568
P_C-a,OPC,1.2599999904632566
P_C-a,SAS,1.2599999904632566
P_C-a,XLC,1.2599999904632586
P_C-a,ROW,1.2599999904632568
ETD-a,CHN,1.2599999904632568
ETD-a,XEA,1.2599999904632568
ETD-a,USA,1.2599999904632568
ETD-a,RUS,1.2599999904632568
ETD-a,EUR,1.259999990463257
ETD-a,XOE,1.2599999904632568
ETD-a,OPC,1.2599999904632575
ETD-a,SAS,1.2599999904632564
ETD-a,XLC,1.2599999904632575
ETD-a,ROW,1.259999990463257
CLP-a,CHN,1.2599999904632568
CLP-a,XEA,1.259999990463257
CLP-a,USA,1.2599999904632568
CLP-a,RUS,1.2599999904632568
CLP-a,EUR,1.2599999904632577
CLP-a,XOE,1.2599999904632564
CLP-a,OPC,1.2599999904632568
CLP-a,SAS,1.259999990463257
CLP-a,XLC,1.2599999904632573
CLP-a,ROW,1.2599999904632568
OLP-a,CHN,1.2599999904632568
OLP-a,XEA,1.2599999904632568
OLP-a,USA,1.2599999904632568
OLP-a,RUS,1.2599999904632568
OLP-a,EUR,1.2599999904632566
OLP-a,XOE,1.2599999904632568
OLP-a,OPC,1.2599999904632566
OLP-a,SAS,1.259999990463257
OLP-a,XLC,1.2599999904632568
OLP-a,ROW,1.2599999904632564
GSP-a,CHN,1.2599999904632568
GSP-a,XEA,1.2599999904632568
GSP-a,USA,1.259999990463257
GSP-a,RUS,1.2599999904632568
GSP-a,EUR,1.259999990463257
GSP-a,XOE,1.2599999904632568
GSP-a,OPC,1.2599999904632568
GSP-a,SAS,1.2599999904632568
GSP-a,XLC,1.2599999904632566
GSP-a,ROW,1.2599999904632566
NUC-a,CHN,1.2599999904632568
NUC-a,XEA,1.2599999904632568
NUC-a,USA,1.2599999904632568
NUC-a,RUS,1.2599999904632568
NUC-a,EUR,1.2599999904632573
NUC-a,XOE,1.2599999904632568
NUC-a,OPC,1.2599999904632568
NUC-a,SAS,1.2599999904632568
NUC-a,XLC,1.259999990463257
NUC-a,ROW,1.2599999904632566
HYD-a,CHN,1.2599999904632568
HYD-a,XEA,1.2599999904632568
HYD-a,USA,1.2599999904632568
HYD-a,RUS,1.2599999904632568
HYD-a,EUR,1.259999990463257
HYD-a,XOE,1.2599999904632568
HYD-a,OPC,1.2599999904632566
HYD-a,SAS,1.2599999904632568
HYD-a,XLC,1.2599999904632566
HYD-a,ROW,1.2599999904632562
SOL-a,CHN,1.259999990463257
