ENDW,ACTS,REG,value
nsk,AGR-a,CHN,305872.47949809243
nsk,AGR-a,XEA,82931.48628907917
nsk,AGR-a,USA,11083.599485368599
nsk,AGR-a,RUS,21121.307383630858
nsk,AGR-a,EUR,86994.61990249796
nsk,AGR-a,XOE,47665.35413388873
nsk,AGR-a,OPC,160912.35483158016
nsk,AGR-a,SAS,133126.97878665675
nsk,AGR-a,XLC,57379.04642120562
nsk,AGR-a,ROW,131059.5264664162
nsk,FRS-a,CHN,28060.80845699203
nsk,FRS-a,XEA,6474.271018933575
nsk,FRS-a,USA,591.5203928114057
nsk,FRS-a,RUS,2590.441335493929
nsk,FRS-a,EUR,5402.249049841405
nsk,FRS-a,XOE,4208.895822263784
nsk,FRS-a,OPC,5490.657640352783
nsk,FRS-a,SAS,8315.493118506382
nsk,FRS-a,XLC,2482.385510589441
nsk,FRS-a,ROW,5247.129882988501
nsk,COA-a,CHN,25434.181994617415
nsk,COA-a,XEA,2827.990283315617
nsk,COA-a,USA,4372.975128009251
nsk,COA-a,RUS,1991.641049950271
nsk,COA-a,EUR,4260.724988756429
nsk,COA-a,XOE,2340.211920183736
nsk,COA-a,OPC,804.8351601501245
nsk,COA-a,SAS,1624.1809563221207
nsk,COA-a,XLC,237.1921634284148
nsk,COA-a,ROW,2488.0425126487066
nsk,OIL-a,CHN,13715.123424570525
nsk,OIL-a,XEA,3354.1527059403193
nsk,OIL-a,USA,11871.001461530675
nsk,OIL-a,RUS,8888.382973595744
nsk,OIL-a,EUR,1444.3738941934644
nsk,OIL-a,XOE,3163.111166362175
nsk,OIL-a,OPC,35500.897701315975
nsk,OIL-a,SAS,3253.429566067199
nsk,OIL-a,XLC,2653.5915663693468
nsk,OIL-a,ROW,5178.461418691184
nsk,GAS-a,CHN,223.85738088997022
nsk,GAS-a,XEA,3444.7044568485207
nsk,GAS-a,USA,6181.690431504045
nsk,GAS-a,RUS,10501.74410763183
nsk,GAS-a,EUR,2517.8374426407863
nsk,GAS-a,XOE,1405.7750526890648
