ENDW,ACTS,REG,value
nsk,AGR-a,CHN,301344.6235699084
nsk,AGR-a,XEA,84893.4755767624
nsk,AGR-a,USA,11371.849796691838
nsk,AGR-a,RUS,26861.857228372006
nsk,AGR-a,EUR,120127.21257716324
nsk,AGR-a,XOE,48270.2883718552
nsk,AGR-a,OPC,189966.68667571867
nsk,AGR-a,SAS,133457.60309999436
nsk,AGR-a,XLC,60518.58529537461
nsk,AGR-a,ROW,139604.82228172515
nsk,FRS-a,CHN,28060.80845699203
nsk,FRS-a,XEA,6587.379618934547
nsk,FRS-a,USA,680.9783480766981
nsk,FRS-a,RUS,3298.3715841842045
nsk,FRS-a,EUR,7541.030355665139
nsk,FRS-a,XOE,4823.012197371962
nsk,FRS-a,OPC,6710.335902563963
nsk,FRS-a,SAS,8327.154475150486
nsk,FRS-a,XLC,2664.3954299563743
nsk,FRS-a,ROW,5676.012534066218
nsk,COA-a,CHN,25434.181994617415
nsk,COA-a,XEA,2944.659207187477
nsk,COA-a,USA,5034.317507316231
nsk,COA-a,RUS,2535.927703566518
nsk,COA-a,EUR,5984.94713048605
nsk,COA-a,XOE,2518.4245468031963
nsk,COA-a,OPC,886.8637754575428
nsk,COA-a,SAS,1625.2932358258045
nsk,COA-a,XLC,241.27552410628206
nsk,COA-a,ROW,2881.983974354273
nsk,OIL-a,CHN,13715.123424570525
nsk,OIL-a,XEA,3430.064812370922
nsk,OIL-a,USA,13666.299425369873
nsk,OIL-a,RUS,11317.449604762523
nsk,OIL-a,EUR,1866.2144741737466
nsk,OIL-a,XOE,3590.4353328052257
nsk,OIL-a,OPC,43966.713095344676
nsk,OIL-a,SAS,3255.4128163023342
nsk,OIL-a,XLC,2853.880567383296
nsk,OIL-a,ROW,5809.596322719716
nsk,GAS-a,CHN,223.85738088997022
nsk,GAS-a,XEA,3539.0619572282426
nsk,GAS-a,USA,7116.571669561863
nsk,GAS-a,RUS,13371.718823534244
nsk,GAS-a,EUR,3482.463629474045
nsk,GAS-a,XOE,1580.5628931990673
nsk,GAS-a,OPC,4265.8239089122435
nsk,GAS-a,SAS,1532.4201138261867
nsk,GAS-a,XLC,875.4128154470201
nsk,GAS-a,ROW,5585.156897978788
nsk,OXT-a,CHN,39740.5142647576
nsk,OXT-a,XEA,9729.296567024989
nsk,OXT-a,USA,6811.883600380402
nsk,OXT-a,RUS,2105.6720980478703
nsk,OXT-a,EUR,8355.084309481705
nsk,OXT-a,XOE,9587.804904260867
nsk,OXT-a,OPC,9573.84161415696
nsk,OXT-a,SAS,5462.095641719904
nsk,OXT-a,XLC,7623.799672885498
nsk,OXT-a,ROW,9688.211114272532
nsk,EIT-a,CHN,326389.78650118044
nsk,EIT-a,XEA,60377.08347556214
nsk,EIT-a,USA,334428.3451155182
nsk,EIT-a,RUS,19118.009736432996
nsk,EIT-a,EUR,318662.66772127163
nsk,EIT-a,XOE,153060.92397540933
nsk,EIT-a,OPC,52254.835742786156
nsk,EIT-a,SAS,25506.44400306896
nsk,EIT-a,XLC,45014.47760383441
nsk,EIT-a,ROW,45157.339202084644
nsk,XMN-a,CHN,640443.5721665155
nsk,XMN-a,XEA,152248.63392134136
nsk,XMN-a,USA,719431.1862328348
nsk,XMN-a,RUS,56445.52316026542
nsk,XMN-a,EUR,736964.9564711312
nsk,XMN-a,XOE,380868.28763257724
nsk,XMN-a,OPC,115879.05517729468
nsk,XMN-a,SAS,109868.54456299303
nsk,XMN-a,XLC,105538.6125702761
nsk,XMN-a,ROW,115696.94352402956
nsk,P_C-a,CHN,8566.495880079783
nsk,P_C-a,XEA,3382.8882690498995
nsk,P_C-a,USA,4390.825596457904
nsk,P_C-a,RUS,1866.9028862263835
nsk,P_C-a,EUR,5906.668526759107
nsk,P_C-a,XOE,3305.4655088418413
nsk,P_C-a,OPC,7910.6820040833245
nsk,P_C-a,SAS,700.1438166747546
nsk,P_C-a,XLC,3197.3949673868265
nsk,P_C-a,ROW,1612.7395783233528
nsk,ETD-a,CHN,12415.358113318514
nsk,ETD-a,XEA,2182.0588200731463
nsk,ETD-a,USA,12122.18056555642
nsk,ETD-a,RUS,1296.42141462228
nsk,ETD-a,EUR,17785.8103505853
nsk,ETD-a,XOE,7919.581306219101
nsk,ETD-a,OPC,4061.9201800459696
nsk,ETD-a,SAS,2107.0584237718617
nsk,ETD-a,XLC,1842.0121470647089
nsk,ETD-a,ROW,7793.737667791438
nsk,CLP-a,CHN,3411.360529591545
nsk,CLP-a,XEA,831.2698081605287
nsk,CLP-a,USA,6456.519521030882
nsk,CLP-a,RUS,15.3418643747824
nsk,CLP-a,EUR,5296.896128349978
nsk,CLP-a,XOE,1894.195732386709
nsk,CLP-a,OPC,932.2238922717282
nsk,CLP-a,SAS,1509.0587850949075
nsk,CLP-a,XLC,149.08566679787575
nsk,CLP-a,ROW,2993.5728508788493
nsk,OLP-a,CHN,116.90807326705759
nsk,OLP-a,XEA,141.63024366763258
nsk,OLP-a,USA,208.28090305588
nsk,OLP-a,RUS,13.727723106741905
nsk,OLP-a,EUR,527.3426418750605
nsk,OLP-a,XOE,887.3734411570769
nsk,OLP-a,OPC,572.9269437715411
nsk,OLP-a,SAS,129.8862486450899
nsk,OLP-a,XLC,639.4899300660396
nsk,OLP-a,ROW,157.3979875694765
nsk,GSP-a,CHN,377.78673164682357
nsk,GSP-a,XEA,305.2324520068371
nsk,GSP-a,USA,1295.3186498951973
nsk,GSP-a,RUS,96.2754565504134
nsk,GSP-a,EUR,1530.7471296722067
nsk,GSP-a,XOE,887.7145149931312
nsk,GSP-a,OPC,452.58719180105254
nsk,GSP-a,SAS,121.86782867752981
nsk,GSP-a,XLC,279.79268013136635
nsk,GSP-a,ROW,774.8684120112966
nsk,NUC-a,CHN,859.4027526727755
nsk,NUC-a,XEA,38.23592045679002
nsk,NUC-a,USA,6225.590193968946
nsk,NUC-a,RUS,70.50833711028099
nsk,NUC-a,EUR,7387.099594771861
nsk,NUC-a,XOE,1470.6570940017698
nsk,NUC-a,OPC,377.00783123891796
nsk,NUC-a,SAS,116.54134520534409
nsk,NUC-a,XLC,71.06672715360757
nsk,NUC-a,ROW,4950.880990203595
nsk,HYD-a,CHN,6190.478968421728
nsk,HYD-a,XEA,658.3101658819825
nsk,HYD-a,USA,1391.5291567500237
nsk,HYD-a,RUS,50.55680423974991
nsk,HYD-a,EUR,2524.472850480815
nsk,HYD-a,XOE,2178.8862934708595
nsk,HYD-a,OPC,2066.358658346324
nsk,HYD-a,SAS,294.9312366840718
nsk,HYD-a,XLC,556.2278502862877
nsk,HYD-a,ROW,1814.1347641555276
nsk,SOL-a,CHN,17.156040188574128
nsk,SOL-a,XEA,0.31987025018696
nsk,SOL-a,USA,32.99448253917395
