ENDW,ACTS,REG,value
nsk,AGR-a,CHN,302858.4642605513
nsk,AGR-a,XEA,76553.04999734022
nsk,AGR-a,USA,8716.137402098682
nsk,AGR-a,RUS,15596.587710688866
nsk,AGR-a,EUR,64500.03608125442
nsk,AGR-a,XOE,40188.2146714968
nsk,AGR-a,OPC,145938.79296143496
nsk,AGR-a,SAS,128224.49267683997
nsk,AGR-a,XLC,55243.67527442877
nsk,AGR-a,ROW,110310.74559795824
nsk,FRS-a,CHN,27784.30203704252
nsk,FRS-a,XEA,5976.321119835269
nsk,FRS-a,USA,465.1713576166034
nsk,FRS-a,RUS,1912.8572282290108
nsk,FRS-a,EUR,4005.3656079562666
nsk,FRS-a,XOE,3548.657340507274
nsk,FRS-a,OPC,4979.72917888282
nsk,FRS-a,SAS,8009.269767827891
nsk,FRS-a,XLC,2390.003104029777
nsk,FRS-a,ROW,4416.426834794869
nsk,COA-a,CHN,25183.557903780733
nsk,COA-a,XEA,2610.4835598389777
nsk,COA-a,USA,3438.9055759371954
nsk,COA-a,RUS,1470.6856805574323
nsk,COA-a,EUR,3159.01047461443
nsk,COA-a,XOE,1973.1089957070844
nsk,COA-a,OPC,729.9419110991759
nsk,COA-a,SAS,1564.36945417004
nsk,COA-a,XLC,228.36501600061388
nsk,COA-a,ROW,2094.1463169411472
nsk,OIL-a,CHN,13579.976937857356
nsk,OIL-a,XEA,3096.1777159223075
nsk,OIL-a,USA,9335.349944375463
nsk,OIL-a,RUS,6563.4405170068885
nsk,OIL-a,EUR,1070.8957449864706
nsk,OIL-a,XOE,2666.922188944635
nsk,OIL-a,OPC,32197.39195912031
nsk,OIL-a,SAS,3133.619942185685
nsk,OIL-a,XLC,2554.837696802401
nsk,OIL-a,ROW,4358.629666592489
nsk,GAS-a,CHN,221.65152844405696
nsk,GAS-a,XEA,3179.7649398442186
nsk,GAS-a,USA,4861.278436608546
nsk,GAS-a,RUS,7754.793304927191
nsk,GAS-a,EUR,1866.7890736125955
nsk,GAS-a,XOE,1185.254796148385
nsk,GAS-a,OPC,3242.8073942435512
nsk,GAS-a,SAS,1458.3233696620068
nsk,GAS-a,XLC,801.0583222752222
nsk,GAS-a,ROW,3995.189336283185
nsk,OXT-a,CHN,39348.91801609134
nsk,OXT-a,XEA,8578.386331207297
nsk,OXT-a,USA,4653.148444362872
nsk,OXT-a,RUS,1221.1632177393135
nsk,OXT-a,EUR,4411.277119907214
nsk,OXT-a,XOE,7479.7086384924
nsk,OXT-a,OPC,7419.5988470070415
nsk,OXT-a,SAS,5255.249086513424
nsk,OXT-a,XLC,7013.092841297684
nsk,OXT-a,ROW,7659.845489001106
nsk,EIT-a,CHN,323173.5972202534
nsk,EIT-a,XEA,52693.568641451704
nsk,EIT-a,USA,228445.57381527315
nsk,EIT-a,RUS,11087.296442228931
nsk,EIT-a,EUR,169076.5213794115
nsk,EIT-a,XOE,111993.93112032102
nsk,EIT-a,OPC,38650.368562532334
nsk,EIT-a,SAS,24541.11822437173
nsk,EIT-a,XLC,40532.527282628034
nsk,EIT-a,ROW,34615.49428206905
nsk,XMN-a,CHN,634132.7504526346
nsk,XMN-a,XEA,132484.42456449472
nsk,XMN-a,USA,491438.20274787757
nsk,XMN-a,RUS,32735.01147380252
nsk,XMN-a,EUR,390343.2553752726
nsk,XMN-a,XOE,278714.44343255105
nsk,XMN-a,OPC,85306.87849504095
nsk,XMN-a,SAS,105620.16085335935
nsk,XMN-a,XLC,94831.21322966921
nsk,XMN-a,ROW,88155.93200980226
nsk,P_C-a,CHN,8482.083090942097
nsk,P_C-a,XEA,2954.292529880134
nsk,P_C-a,USA,2999.3409676992665
nsk,P_C-a,RUS,1082.6914949766463
nsk,P_C-a,EUR,3232.1236097835617
nsk,P_C-a,XOE,2449.62008637951
nsk,P_C-a,OPC,5773.889843126631
nsk,P_C-a,SAS,673.4050522011269
nsk,P_C-a,XLC,2902.8034430699136
nsk,P_C-a,ROW,1159.7188690904904
nsk,ETD-a,CHN,12293.019292269708
nsk,ETD-a,XEA,1885.9290097350715
nsk,ETD-a,USA,8280.573602814444
nsk,ETD-a,RUS,751.8464877684198
nsk,ETD-a,EUR,9443.930682037811
nsk,ETD-a,XOE,5910.926429157622
nsk,ETD-a,OPC,3026.5626532748397
nsk,ETD-a,SAS,2025.4360112672973
nsk,ETD-a,XLC,1658.2701755853668
nsk,ETD-a,ROW,5588.66854370839
nsk,CLP-a,CHN,3377.745564839545
nsk,CLP-a,XEA,690.7876223980927
nsk,CLP-a,USA,4410.401682397176
nsk,CLP-a,RUS,8.897359071401858
nsk,CLP-a,EUR,2867.761721166999
nsk,CLP-a,XOE,1432.4627174154784
nsk,CLP-a,OPC,736.8805030690545
nsk,CLP-a,SAS,1452.6614875027517
nsk,CLP-a,XLC,137.42265158552942
nsk,CLP-a,ROW,2105.303858996925
nsk,OLP-a,CHN,115.75608105515059
nsk,OLP-a,XEA,124.22793962621988
nsk,OLP-a,USA,142.2751750353325
nsk,OLP-a,RUS,7.961254631079557
nsk,OLP-a,EUR,290.6854758390933
nsk,OLP-a,XOE,633.596606415753
nsk,OLP-a,OPC,442.20506107125124
nsk,OLP-a,SAS,124.889111753895
nsk,OLP-a,XLC,548.6770943459143
nsk,OLP-a,ROW,117.42324694128695
nsk,GSP-a,CHN,374.0640856356727
nsk,GSP-a,XEA,270.3622880558626
nsk,GSP-a,USA,884.8227723523155
nsk,GSP-a,RUS,55.833978799677055
nsk,GSP-a,EUR,838.3425820857243
nsk,GSP-a,XOE,643.8697311712205
nsk,GSP-a,OPC,333.1989736676118
nsk,GSP-a,SAS,117.00580597294451
nsk,GSP-a,XLC,255.07928705721173
nsk,GSP-a,ROW,562.0080515586808
nsk,NUC-a,CHN,850.9343445440321
nsk,NUC-a,XEA,30.381586922427747
nsk,NUC-a,USA,4252.655452454963
nsk,NUC-a,RUS,40.890598588022165
nsk,NUC-a,EUR,3750.362270173521
nsk,NUC-a,XOE,1069.2364660680958
nsk,NUC-a,OPC,271.73075837392025
nsk,NUC-a,SAS,112.18581779829287
nsk,NUC-a,XLC,64.55139069152071
nsk,NUC-a,ROW,3328.9092507808637
nsk,HYD-a,CHN,6129.479044632842
nsk,HYD-a,XEA,599.1739043452593
nsk,HYD-a,USA,950.5434358367465
nsk,HYD-a,RUS,29.31990706729475
nsk,HYD-a,EUR,1335.3428295529473
nsk,HYD-a,XOE,1576.3594449484433
nsk,HYD-a,OPC,1549.0708680997386
nsk,HYD-a,SAS,283.82116701510904
nsk,HYD-a,XLC,516.10258848279
nsk,HYD-a,ROW,1349.311244259952
nsk,SOL-a,CHN,16.986987495016738
nsk,SOL-a,XEA,0.2696583667055917
nsk,SOL-a,USA,22.53829097868108
nsk,SOL-a,EUR,475.1571308297664
nsk,SOL-a,XOE,53.07150693671408
nsk,SOL-a,SAS,3.435820464168741
nsk,SOL-a,XLC,0.30181365290337603
nsk,SOL-a,ROW,4.221114650601594
nsk,WND-a,CHN,694.2365064480706
nsk,WND-a,XEA,3.778193516114626
nsk,WND-a,USA,449.7315345594598
nsk,WND-a,RUS,1.6710913219502783e-05
nsk,WND-a,EUR,1351.9267442296125
nsk,WND-a,XOE,120.9398768406611
nsk,WND-a,OPC,46.04221750925628
nsk,WND-a,SAS,80.78608380880057
nsk,WND-a,XLC,13.5758421864745
nsk,WND-a,ROW,104.66503901916784
nsk,XEL-a,CHN,692.9637094126495
nsk,XEL-a,XEA,63.41678033633776
nsk,XEL-a,USA,440.8042114260884
nsk,XEL-a,RUS,1.4030417342355717
nsk,XEL-a,EUR,1517.382389922789
nsk,XEL-a,XOE,388.6325675493218
nsk,XEL-a,OPC,579.8704722727136
nsk,XEL-a,SAS,83.95385729203049
nsk,XEL-a,XLC,159.27517507275343
nsk,XEL-a,ROW,46.03857095504239
nsk,SRV-a,CHN,1209337.1113501247
nsk,SRV-a,XEA,366223.0876090577
nsk,SRV-a,USA,2098374.2844390487
nsk,SRV-a,RUS,95532.32930372565
nsk,SRV-a,EUR,1350080.224899252
nsk,SRV-a,XOE,1324279.216496711
nsk,SRV-a,OPC,613742.531821586
nsk,SRV-a,SAS,280369.3022795555
nsk,SRV-a,XLC,377418.6713438693
nsk,SRV-a,ROW,324950.9114633696
skl,AGR-a,CHN,19027.910223516472
skl,AGR-a,XEA,3512.336712887684
skl,AGR-a,USA,36368.59816423229
skl,AGR-a,RUS,922.2552021645979
skl,AGR-a,EUR,20338.087238853783
skl,AGR-a,XOE,11128.225215122322
skl,AGR-a,OPC,4700.681361192316
