COMM,ACTS,REG,value
FRS,FRS-a,CHN,61374.550459957965
FRS,FRS-a,XEA,22993.874123465033
FRS,FRS-a,USA,23491.19993194482
FRS,FRS-a,RUS,14326.062470543342
FRS,FRS-a,EUR,53997.666069230225
FRS,FRS-a,XOE,29407.96342123725
FRS,FRS-a,OPC,17739.21676314754
FRS,FRS-a,SAS,24702.460809484346
FRS,FRS-a,XLC,15153.321347754127
FRS,FRS-a,ROW,23514.64095054684
COA,COA-a,CHN,149075.8998953473
COA,COA-a,XEA,44091.09989791417
COA,COA-a,USA,78361.59443071917
COA,COA-a,RUS,24237.26524723838
COA,COA-a,EUR,26977.355493696272
COA,COA-a,XOE,57864.87894984898
COA,COA-a,OPC,5638.37546114498
COA,COA-a,SAS,10729.192069056888
COA,COA-a,XLC,8609.310653050712
COA,COA-a,ROW,29693.43127959701
OIL,OIL-a,CHN,121062.75798988693
OIL,OIL-a,XEA,80546.11203536412
OIL,OIL-a,USA,222479.63289578172
OIL,OIL-a,RUS,314878.6761125384
OIL,OIL-a,EUR,134272.60432255696
OIL,OIL-a,XOE,109541.32494395845
OIL,OIL-a,OPC,1293536.549022635
OIL,OIL-a,SAS,25806.594377420686
OIL,OIL-a,XLC,122637.01062016012
OIL,OIL-a,ROW,129762.89569161717
GAS,GAS-a,CHN,7000.461322835566
GAS,GAS-a,XEA,63076.54516443431
GAS,GAS-a,USA,95721.30519908399
GAS,GAS-a,RUS,120210.79961571298
GAS,GAS-a,EUR,86449.7241810576
GAS,GAS-a,XOE,43918.676376944
GAS,GAS-a,OPC,169013.85497088253
GAS,GAS-a,SAS,25631.05911284236
GAS,GAS-a,XLC,24447.22033646502
GAS,GAS-a,ROW,66738.54759149588
P_C,P_C-a,CHN,543410.5192597652
P_C,P_C-a,XEA,241064.9886865725
P_C,P_C-a,USA,729491.3539210189
P_C,P_C-a,RUS,230500.06647728756
P_C,P_C-a,EUR,1004565.6014278339
P_C,P_C-a,XOE,572749.7124353605
P_C,P_C-a,OPC,454408.34899061674
P_C,P_C-a,SAS,238360.39070292984
P_C,P_C-a,XLC,143850.0017317716
P_C,P_C-a,ROW,207775.88620136247
AGR,AGR-a,CHN,897133.0200380102
AGR,AGR-a,XEA,287703.93820889574
AGR,AGR-a,USA,381187.7018519648
AGR,AGR-a,RUS,82880.46743784109
AGR,AGR-a,EUR,470623.86295608897
AGR,AGR-a,XOE,262728.4212704027
AGR,AGR-a,OPC,574046.7185333756
AGR,AGR-a,SAS,507873.3070323015
AGR,AGR-a,XLC,257230.2216517703
AGR,AGR-a,ROW,415223.53671703
OXT,OXT-a,CHN,276970.0732730892
OXT,OXT-a,XEA,84764.60040951996
OXT,OXT-a,USA,50960.951564738774
OXT,OXT-a,RUS,24172.075631016043
OXT,OXT-a,EUR,103716.42112755966
OXT,OXT-a,XOE,163001.1342772655
OXT,OXT-a,OPC,137873.3768683493
OXT,OXT-a,SAS,28607.489227522783
OXT,OXT-a,XLC,95282.3359098477
OXT,OXT-a,ROW,79877.17882531986
EIT,EIT-a,CHN,3917562.9607170713
EIT,EIT-a,XEA,773419.1356823044
EIT,EIT-a,USA,2164928.8012499977
EIT,EIT-a,RUS,272617.4221604125
EIT,EIT-a,EUR,3713010.7953162133
EIT,EIT-a,XOE,2158666.673107802
EIT,EIT-a,OPC,855951.9411455467
EIT,EIT-a,SAS,400750.9213840838
EIT,EIT-a,XLC,543198.961410213
EIT,EIT-a,ROW,637047.0385546355
XMN,XMN-a,CHN,6817735.305191735
XMN,XMN-a,XEA,1892840.4340568904
XMN,XMN-a,USA,4650136.90632768
XMN,XMN-a,RUS,459111.6188703604
XMN,XMN-a,EUR,7833038.958775037
XMN,XMN-a,XOE,3902863.651872442
XMN,XMN-a,OPC,1504920.307257308
XMN,XMN-a,SAS,1132747.8015907286
XMN,XMN-a,XLC,1131670.0560342614
XMN,XMN-a,ROW,1331294.7489928347
SRV,SRV-a,CHN,6970602.2978325775
SRV,SRV-a,XEA,3266794.6071140664
