COMM,ACTS,REG,value
FRS,FRS-a,CHN,61374.540086794215
FRS,FRS-a,XEA,22683.028562264357
FRS,FRS-a,USA,22264.281307496065
FRS,FRS-a,RUS,14326.0125198203
FRS,FRS-a,EUR,54069.75705073607
FRS,FRS-a,XOE,29027.937243429264
FRS,FRS-a,OPC,17619.313138694237
FRS,FRS-a,SAS,24682.80549907035
FRS,FRS-a,XLC,14975.08782744408
FRS,FRS-a,ROW,23438.587324592714
COA,COA-a,CHN,149075.99053719494
COA,COA-a,XEA,43866.42705005134
COA,COA-a,USA,71528.37623282659
COA,COA-a,RUS,24237.26350179806
COA,COA-a,EUR,36885.17315083492
COA,COA-a,XOE,57424.16538965116
COA,COA-a,OPC,5631.785230567371
COA,COA-a,SAS,10652.159645048498
COA,COA-a,XLC,8562.6099082324
COA,COA-a,ROW,30271.53062038207
OIL,OIL-a,CHN,121062.76877035553
OIL,OIL-a,XEA,77981.69742003076
OIL,OIL-a,USA,212265.20099774585
OIL,OIL-a,RUS,314878.6937752912
OIL,OIL-a,EUR,130796.48416944881
OIL,OIL-a,XOE,108274.14749217885
OIL,OIL-a,OPC,1288112.4705394474
OIL,OIL-a,SAS,25645.778238817544
OIL,OIL-a,XLC,89320.05998526486
OIL,OIL-a,ROW,124434.13848970846
GAS,GAS-a,CHN,7000.458531817349
GAS,GAS-a,XEA,62922.74426863133
GAS,GAS-a,USA,91990.49782774287
GAS,GAS-a,RUS,120210.74906569683
GAS,GAS-a,EUR,83345.7488671277
GAS,GAS-a,XOE,43866.26227176911
GAS,GAS-a,OPC,167974.09393459663
GAS,GAS-a,SAS,23787.054509827594
GAS,GAS-a,XLC,18296.952890491637
GAS,GAS-a,ROW,55350.35326383808
P_C,P_C-a,CHN,543410.4503767402
P_C,P_C-a,XEA,243896.4095565901
P_C,P_C-a,USA,710608.6183800298
P_C,P_C-a,RUS,230500.1245235707
P_C,P_C-a,EUR,782262.5538929293
P_C,P_C-a,XOE,500233.01770529593
P_C,P_C-a,OPC,453095.3075745326
P_C,P_C-a,SAS,238050.0409053406
