COMM,ACTS,REG,value
FRS,FRS-a,CHN,0.010373163750045933
FRS,FRS-a,XEA,310.84556120067646
FRS,FRS-a,USA,1226.9186244487537
FRS,FRS-a,RUS,0.04995072304154746
FRS,FRS-a,EUR,-72.0909815058476
FRS,FRS-a,XOE,380.02617780798755
FRS,FRS-a,OPC,119.90362445330175
FRS,FRS-a,SAS,19.65531041399663
FRS,FRS-a,XLC,178.23352031004652
FRS,FRS-a,ROW,76.05362595412589
COA,COA-a,CHN,-0.09064184763701633
COA,COA-a,XEA,224.67284786283562
COA,COA-a,USA,6833.21819789258
COA,COA-a,RUS,0.0017454403205192648
COA,COA-a,EUR,-9907.817657138647
COA,COA-a,XOE,440.71356019781524
COA,COA-a,OPC,6.590230577608963
COA,COA-a,SAS,77.03242400839008
COA,COA-a,XLC,46.70074481831216
COA,COA-a,ROW,-578.0993407850583
OIL,OIL-a,CHN,-0.01078046859765891
OIL,OIL-a,XEA,2564.414615333357
OIL,OIL-a,USA,10214.431898035866
OIL,OIL-a,RUS,-0.017662752827163786
OIL,OIL-a,EUR,3476.120153108146
OIL,OIL-a,XOE,1267.1774517796002
OIL,OIL-a,OPC,5424.0784831875935
OIL,OIL-a,SAS,160.81613860314246
OIL,OIL-a,XLC,33316.95063489526
OIL,OIL-a,ROW,5328.757201908709
GAS,GAS-a,CHN,0.002791018217067176
GAS,GAS-a,XEA,153.80089580298227
GAS,GAS-a,USA,3730.807371341114
GAS,GAS-a,RUS,0.050550016152556054
GAS,GAS-a,EUR,3103.975313929899
GAS,GAS-a,XOE,52.41410517488839
GAS,GAS-a,OPC,1039.7610362858977
GAS,GAS-a,SAS,1844.0046030147641
GAS,GAS-a,XLC,6150.267445973383
GAS,GAS-a,ROW,11388.194327657802
P_C,P_C-a,CHN,0.06888302497100085
P_C,P_C-a,XEA,-2831.4208700176096
P_C,P_C-a,USA,18882.735540989088
P_C,P_C-a,RUS,-0.058046283142175525
P_C,P_C-a,EUR,222303.04753490456
P_C,P_C-a,XOE,72516.6947300646
P_C,P_C-a,OPC,1313.041416084161
P_C,P_C-a,SAS,310.34979758923873
P_C,P_C-a,XLC,-1324.5003605438687
P_C,P_C-a,ROW,15373.996116105758
AGR,AGR-a,CHN,-21.95880203449633
AGR,AGR-a,XEA,25.72426930774236
AGR,AGR-a,USA,-82.67949896975188
AGR,AGR-a,RUS,-136.99240331967303
AGR,AGR-a,EUR,-488.9485721576493
AGR,AGR-a,XOE,-1539.5058336392976
AGR,AGR-a,OPC,613.779331007856
AGR,AGR-a,SAS,-18549.021277558117
AGR,AGR-a,XLC,3140.008384733228
AGR,AGR-a,ROW,1269.0679287805106
OXT,OXT-a,CHN,-0.034634539333637804
OXT,OXT-a,XEA,187.82781288493425
OXT,OXT-a,USA,2255.7000259588312
OXT,OXT-a,RUS,0.08906730164744658
OXT,OXT-a,EUR,8218.150477186733
OXT,OXT-a,XOE,1468.9320047797228
OXT,OXT-a,OPC,1854.1188481475983
OXT,OXT-a,SAS,135.9809162351521
OXT,OXT-a,XLC,889.1937125331897
OXT,OXT-a,ROW,640.0653877460281
EIT,EIT-a,CHN,87.25600691698492
EIT,EIT-a,XEA,1088.511406367179
EIT,EIT-a,USA,17092.31488166796
EIT,EIT-a,RUS,0.18785624776501209
EIT,EIT-a,EUR,101232.52220820962
EIT,EIT-a,XOE,24056.939978201408
EIT,EIT-a,OPC,5717.896181809949
EIT,EIT-a,SAS,8002.0952564650215
EIT,EIT-a,XLC,5121.2147940613795
EIT,EIT-a,ROW,4671.0119218316395
XMN,XMN-a,CHN,46.1215077964589
XMN,XMN-a,XEA,4600.6799821211025
XMN,XMN-a,USA,33099.24794361461
XMN,XMN-a,RUS,28.48751396825537
XMN,XMN-a,EUR,313932.25490448624
XMN,XMN-a,XOE,70185.0108308834
XMN,XMN-a,OPC,12136.935804101871
XMN,XMN-a,SAS,13448.795177549124
XMN,XMN-a,XLC,13124.260557494126
XMN,XMN-a,ROW,19711.06759594544
SRV,SRV-a,CHN,8.954788781702518
SRV,SRV-a,XEA,19294.666302897036
SRV,SRV-a,USA,537350.4912054539
SRV,SRV-a,RUS,95.38235259475186
SRV,SRV-a,EUR,230273.84772248194
SRV,SRV-a,XOE,216402.09677565284
SRV,SRV-a,OPC,39701.51471198443
SRV,SRV-a,SAS,11668.214774118736
SRV,SRV-a,XLC,47224.29390655458
SRV,SRV-a,ROW,28761.373375984374
ELY,ETD-a,CHN,1.5789998963591643
ELY,ETD-a,XEA,-126.16952782187946
ELY,ETD-a,USA,5210.124543274025
ELY,ETD-a,RUS,0.0015530788186879363
ELY,ETD-a,EUR,6570.858890122778
ELY,ETD-a,XOE,2845.552189833281
ELY,ETD-a,OPC,386.688245461708
ELY,ETD-a,SAS,-1528.7064643190897
ELY,ETD-a,XLC,5.548518939944188
ELY,ETD-a,ROW,98.05891001976852
ELY,CLP-a,CHN,4.691071964189177
ELY,CLP-a,XEA,-268.99049735405424
ELY,CLP-a,USA,8481.692552841414
ELY,CLP-a,RUS,0.0005440342793008313
ELY,CLP-a,EUR,4968.695766926583
ELY,CLP-a,XOE,2757.770195074452
ELY,CLP-a,OPC,5.9283108117379015
ELY,CLP-a,SAS,-3854.4196300531767
ELY,CLP-a,XLC,-60.083778870839524
ELY,CLP-a,ROW,-134.0184341064305
ELY,OLP-a,CHN,0.010108111179761181
ELY,OLP-a,XEA,-168.00164179917374
ELY,OLP-a,USA,142.31523893775648
ELY,OLP-a,RUS,0.0013163230560166994
ELY,OLP-a,EUR,606.8568658969125
ELY,OLP-a,XOE,1141.9193016509598
ELY,OLP-a,OPC,1474.8270325841731
ELY,OLP-a,SAS,-114.09573708636526
ELY,OLP-a,XLC,12.960216937171936
ELY,OLP-a,ROW,26.76503945733566
ELY,GSP-a,CHN,0.11908858754031826
ELY,GSP-a,XEA,-41.353212424670346
ELY,GSP-a,USA,4786.3002215159795
ELY,GSP-a,RUS,0.006803519718232565
ELY,GSP-a,EUR,6569.1775077761995
ELY,GSP-a,XOE,3647.8134216460603
ELY,GSP-a,OPC,429.45044350996614
ELY,GSP-a,SAS,-612.6264196820412
ELY,GSP-a,XLC,9.493836227709835
ELY,GSP-a,ROW,615.9520388189194
ELY,NUC-a,CHN,0.10913462275220809
ELY,NUC-a,XEA,25.39851444762354
ELY,NUC-a,USA,-4752.62320467578
ELY,NUC-a,RUS,5.50534091416921e-05
ELY,NUC-a,EUR,4538.614227442027
ELY,NUC-a,XOE,1069.774347806455
ELY,NUC-a,OPC,12.000731280661057
ELY,NUC-a,SAS,-173.46763591698482
ELY,NUC-a,XLC,2.1920152702838323
ELY,NUC-a,ROW,-300.7514017894646
ELY,HYD-a,CHN,0.8698425960246823
ELY,HYD-a,XEA,15.489435942718046
ELY,HYD-a,USA,544.7529736100987
ELY,HYD-a,RUS,9.647406091062294e-05
ELY,HYD-a,EUR,4127.299117769944
ELY,HYD-a,XOE,1607.8396273693943
ELY,HYD-a,OPC,715.2023116931741
ELY,HYD-a,SAS,-751.205363137964
ELY,HYD-a,XLC,101.52182398159493
ELY,HYD-a,ROW,175.5997971614197
ELY,SOL-a,CHN,0.0032986407702821907
ELY,SOL-a,XEA,0.055083155935111705
ELY,SOL-a,USA,-7.037330777410489
ELY,SOL-a,EUR,411.6935900799908
ELY,SOL-a,XOE,45.038696162349424
ELY,SOL-a,SAS,-4.44312782991048
ELY,SOL-a,XLC,0.1445920253135533
ELY,SOL-a,ROW,-0.4631150968803581
ELY,WND-a,CHN,0.08896441844899527
ELY,WND-a,XEA,0.8893930583688174
ELY,WND-a,USA,-107.05540716462019
ELY,WND-a,EUR,1633.9226692197626
ELY,WND-a,XOE,76.55120676740898
ELY,WND-a,OPC,2.073132212919745
ELY,WND-a,SAS,-131.8021241916772
ELY,WND-a,XLC,1.6971275080066448
ELY,WND-a,ROW,-0.5106278609787296
ELY,XEL-a,CHN,0.05399714945724554
ELY,XEL-a,XEA,-41.02982693602098
ELY,XEL-a,USA,71.9803133027981
ELY,XEL-a,EUR,1868.7757670984647
ELY,XEL-a,XOE,358.39491669920426
ELY,XEL-a,OPC,25.13052500057438
ELY,XEL-a,SAS,-94.73318497974105
ELY,XEL-a,XLC,13.570759364596597
ELY,XEL-a,ROW,-2.779110121211943
