COMM,SRC,DST,value
FRS,CHN,XEA,21.41502304072232
FRS,CHN,USA,56.868556762206396
FRS,CHN,RUS,1.0672316436292533
FRS,CHN,EUR,79.87701691615057
FRS,CHN,XOE,87.26128503519678
FRS,CHN,OPC,5.621928185019063
FRS,CHN,SAS,25.750992358673756
FRS,CHN,XLC,3.083110802497592
FRS,CHN,ROW,5.302714426591586
FRS,XEA,CHN,1796.790294804067
FRS,XEA,XEA,659.6824969474701
FRS,XEA,USA,27.019723842497676
FRS,XEA,RUS,0.9631656536475063
FRS,XEA,EUR,87.44715164741974
FRS,XEA,XOE,235.22934706093983
FRS,XEA,OPC,9.722464139749986
FRS,XEA,SAS,1276.4876229288645
FRS,XEA,XLC,3.902136449304
FRS,XEA,ROW,11.607037562309714
FRS,USA,CHN,1136.118482081803
FRS,USA,XEA,91.61447583745844
FRS,USA,RUS,5.252969975333182
FRS,USA,EUR,247.42119944936897
FRS,USA,XOE,1057.3942070281182
FRS,USA,OPC,36.41398091512972
FRS,USA,SAS,13.590785594371189
FRS,USA,XLC,59.76606970005374
FRS,USA,ROW,21.97253714143055
FRS,RUS,CHN,1721.3956795291654
FRS,RUS,XEA,0.5408658773805705
FRS,RUS,USA,0.15584120708887914
FRS,RUS,EUR,404.367111796902
FRS,RUS,XOE,162.2057681149254
FRS,RUS,OPC,2.2427880728626195
FRS,RUS,SAS,0.023330239011944566
FRS,RUS,XLC,0.029020043367977345
FRS,RUS,ROW,49.57403076470272
FRS,EUR,CHN,342.17352052703325
FRS,EUR,XEA,51.6817848289058
FRS,EUR,USA,105.35496867905728
FRS,EUR,RUS,38.4717687689119
FRS,EUR,EUR,5510.48129432815
FRS,EUR,XOE,42.18369979144863
FRS,EUR,OPC,285.00110238785373
FRS,EUR,SAS,44.60268285879453
FRS,EUR,XLC,23.423025792062102
FRS,EUR,ROW,140.32056575308204
FRS,XOE,CHN,2104.7407589013515
FRS,XOE,XEA,49.75004205657437
FRS,XOE,USA,152.2783051992269
FRS,XOE,RUS,0.2685807994218363
FRS,XOE,EUR,35.4917804089736
FRS,XOE,XOE,1117.0329740194354
FRS,XOE,OPC,5.227593846709883
FRS,XOE,SAS,247.249726573942
FRS,XOE,XLC,6.464523287420359
FRS,XOE,ROW,13.847370968039263
FRS,OPC,CHN,318.77953090943845
FRS,OPC,XEA,30.877979097896294
FRS,OPC,USA,13.440491856783073
FRS,OPC,RUS,1.356518438366848
FRS,OPC,EUR,184.73857404613187
FRS,OPC,XOE,5.6526194445631015
FRS,OPC,OPC,32.332810929728446
FRS,OPC,SAS,78.0159157650796
FRS,OPC,XLC,10.290672620488206
FRS,OPC,ROW,21.486909630096182
FRS,SAS,CHN,16.59954141698856
FRS,SAS,XEA,26.830123605173252
FRS,SAS,USA,56.07080415325601
FRS,SAS,RUS,2.117501802710715
FRS,SAS,EUR,105.87456226180689
FRS,SAS,XOE,29.329891921647636
FRS,SAS,OPC,23.087017206545312
FRS,SAS,SAS,83.85176637192299
FRS,SAS,XLC,5.694760985031072
FRS,SAS,ROW,26.612392270967785
FRS,XLC,CHN,131.145912434986
FRS,XLC,XEA,52.97185991214845
FRS,XLC,USA,111.16072595263562
FRS,XLC,RUS,2.5459862704101104
FRS,XLC,EUR,204.260255933469
FRS,XLC,XOE,32.65079482695846
FRS,XLC,OPC,13.243369675336234
FRS,XLC,SAS,153.37579477923725
FRS,XLC,XLC,23.649982948391155
FRS,XLC,ROW,8.628459204934323
FRS,ROW,CHN,853.0381380255282
FRS,ROW,XEA,156.615982466324
FRS,ROW,USA,71.90441271258372
FRS,ROW,RUS,21.012684407249775
FRS,ROW,EUR,1058.5654534728112
FRS,ROW,XOE,58.78562455279977
FRS,ROW,OPC,44.01416891457101
FRS,ROW,SAS,190.66562317696366
FRS,ROW,XLC,16.954037072543017
FRS,ROW,ROW,336.2779185243056
COA,CHN,XEA,968.412670825684
COA,CHN,USA,5.607426816216811
COA,CHN,RUS,4.71041289715626
COA,CHN,EUR,13.834391112495444
COA,CHN,XOE,1098.5017668901744
COA,CHN,OPC,1.5508580507361818
COA,CHN,SAS,58.751489123678304
COA,CHN,XLC,3.2250713837678204
COA,CHN,ROW,5.2138954474264
COA,XEA,CHN,14236.708646949539
COA,XEA,XEA,9189.02689215446
COA,XEA,USA,48.53257886108652
COA,XEA,RUS,23.479970410258765
COA,XEA,EUR,1217.9233592463888
COA,XEA,XOE,9972.713443185727
COA,XEA,OPC,16.160579729823713
COA,XEA,SAS,4655.703893660338
COA,XEA,XLC,67.51253562862846
COA,XEA,ROW,490.01107386991185
COA,USA,CHN,510.2916382056421
COA,USA,XEA,11.163016329629828
COA,USA,RUS,1033.3612264891015
COA,USA,EUR,5541.84386894881
COA,USA,XOE,2278.715461916222
COA,USA,OPC,1023.2260962006017
COA,USA,SAS,345.87835739571847
COA,USA,XLC,425.14405131729745
COA,USA,ROW,2526.461449066869
COA,RUS,CHN,1631.6995496878908
COA,RUS,XEA,322.2044396034158
COA,RUS,USA,0.94030845544085
COA,RUS,EUR,6700.999390190779
COA,RUS,XOE,4439.73350636678
COA,RUS,OPC,231.20540863951004
COA,RUS,SAS,112.25346153871423
COA,RUS,XLC,1.320222304864059
COA,RUS,ROW,1656.886556944869
COA,EUR,CHN,1.1421308416021896
COA,EUR,XEA,3.300776125597162
COA,EUR,USA,1.7017542377728958
COA,EUR,RUS,9.326000886041077
COA,EUR,EUR,2283.5254163898207
COA,EUR,XOE,7.636731325331994
COA,EUR,OPC,4.3311419295104265
COA,EUR,SAS,7.5985864411957404
COA,EUR,XLC,1.2198570674254976
COA,EUR,ROW,45.03787694322904
COA,XOE,CHN,4665.190233746699
COA,XOE,XEA,4243.779587536085
COA,XOE,USA,217.4713677366779
COA,XOE,RUS,14.651542090574509
COA,XOE,EUR,4255.106323466925
COA,XOE,XOE,23940.16740485237
COA,XOE,OPC,1038.042816916018
COA,XOE,SAS,10893.860602741315
COA,XOE,XLC,657.0264306911964
COA,XOE,ROW,1680.848141706826
COA,OPC,CHN,28.224029678792718
COA,OPC,XEA,13.641132400337451
COA,OPC,USA,33.08468288802489
COA,OPC,RUS,1407.645725586994
COA,OPC,EUR,610.9376662727217
COA,OPC,XOE,20.15634967184011
COA,OPC,OPC,29.068634776442583
COA,OPC,SAS,25.17819344189906
COA,OPC,XLC,12.449043750403861
COA,OPC,ROW,622.9094242338824
COA,SAS,CHN,3.53011702277341
COA,SAS,XEA,0.19311437587085237
COA,SAS,USA,0.02112906954575441
COA,SAS,RUS,0.017240833823266195
COA,SAS,EUR,0.08032577733896784
COA,SAS,XOE,0.030564894116289786
COA,SAS,OPC,0.14827020713962638
COA,SAS,SAS,125.46491251000191
COA,SAS,XLC,0.007554874621888005
COA,SAS,ROW,0.39647301614260955
COA,XLC,CHN,166.28192154885784
COA,XLC,XEA,14.84033950597686
COA,XLC,USA,898.7105521770702
COA,XLC,RUS,5.337116381264697
COA,XLC,EUR,4285.023165922193
COA,XLC,XOE,340.99949169333286
COA,XLC,OPC,478.6573499898864
COA,XLC,SAS,9.29034975076614
COA,XLC,XLC,1011.3670454117577
COA,XLC,ROW,1022.7287968342519
COA,ROW,CHN,1356.4284053760737
COA,ROW,XEA,509.31077587290434
COA,ROW,USA,12.809689598837812
COA,ROW,RUS,43.48209374676705
COA,ROW,EUR,2268.2746150265802
COA,ROW,XOE,565.6079443680874
COA,ROW,OPC,289.5611871622594
COA,ROW,SAS,1892.0778473293078
COA,ROW,XLC,173.77455144694704
COA,ROW,ROW,1123.6736131263428
OIL,CHN,XEA,619.8202248086909
OIL,CHN,USA,21.295765934456647
OIL,CHN,EUR,0.38851685887220555
OIL,CHN,XOE,60.28573031158319
OIL,CHN,OPC,1.9039023865861313
OIL,CHN,SAS,181.4520232096166
