COMM,ACTS,REG,value
FRS,AGR-a,CHN,224.88611686653326
FRS,AGR-a,XEA,90.99459615667772
FRS,AGR-a,USA,25.0306514085657
FRS,AGR-a,RUS,46.07359953969717
FRS,AGR-a,EUR,384.53285671183295
FRS,AGR-a,XOE,593.1521120133293
FRS,AGR-a,OPC,588.7366994174412
FRS,AGR-a,SAS,84.78088102463994
FRS,AGR-a,XLC,167.83269689011954
FRS,AGR-a,ROW,251.8195540575119
FRS,FRS-a,CHN,2500.2190276563333
FRS,FRS-a,XEA,274.0899306567999
FRS,FRS-a,USA,619.8114194098389
FRS,FRS-a,RUS,41.05562210083008
FRS,FRS-a,EUR,8522.662386508307
FRS,FRS-a,XOE,4000.7126598358154
FRS,FRS-a,OPC,1584.762139945873
FRS,FRS-a,SAS,33.27249718771891
FRS,FRS-a,XLC,1427.992281265851
FRS,FRS-a,ROW,822.3764762848095
FRS,COA-a,CHN,1111.7950786685624
FRS,COA-a,XEA,90.46695664819849
FRS,COA-a,USA,36.36114407447254
FRS,COA-a,RUS,303.2086137319247
FRS,COA-a,EUR,36.01950855786379
FRS,COA-a,XOE,37.67418850958347
FRS,COA-a,OPC,3.891473716409651
FRS,COA-a,XLC,0.34172605662112304
FRS,COA-a,ROW,141.77386174376946
FRS,OIL-a,CHN,2.3582276320067392
FRS,OIL-a,XEA,2.9949508036739156
FRS,OIL-a,USA,0.82449106125033
FRS,OIL-a,RUS,34.64008712768555
FRS,OIL-a,EUR,9.5080284415795
FRS,OIL-a,XOE,10.256720439181663
FRS,OIL-a,XLC,1.08716849563406
FRS,OIL-a,ROW,0.5889244335585718
FRS,GAS-a,XEA,145.63059865321085
FRS,GAS-a,RUS,4.405167929828167
FRS,GAS-a,EUR,7.9450881082853595
FRS,GAS-a,XOE,2.5381677719146722
FRS,GAS-a,OPC,5.051879493026674
FRS,GAS-a,SAS,0.13952806328414247
FRS,GAS-a,XLC,5.577716712276471
FRS,GAS-a,ROW,1.8474899866246428
FRS,OXT-a,CHN,233.15878058569925
FRS,OXT-a,XEA,44.91728541928357
FRS,OXT-a,USA,2.254481092051712
FRS,OXT-a,RUS,31.22840881347656
FRS,OXT-a,EUR,62.23763112986489
FRS,OXT-a,XOE,181.60882411617786
FRS,OXT-a,OPC,46.66391383869632
FRS,OXT-a,SAS,90.26526561748706
FRS,OXT-a,XLC,69.26707898694242
FRS,OXT-a,ROW,200.97922956551713
FRS,EIT-a,CHN,16945.034333893847
FRS,EIT-a,XEA,2253.18400120147
FRS,EIT-a,USA,551.7141487276137
FRS,EIT-a,RUS,3566.194193052615
FRS,EIT-a,EUR,7876.603616102621
FRS,EIT-a,XOE,2196.0198878813535
FRS,EIT-a,OPC,4382.05709425823
FRS,EIT-a,SAS,1519.1058711040575
FRS,EIT-a,XLC,878.4442330922232
FRS,EIT-a,ROW,1918.007125895052
FRS,XMN-a,CHN,35535.46150391878
FRS,XMN-a,XEA,11014.160554361817
FRS,XMN-a,USA,14184.7712798445
FRS,XMN-a,RUS,4334.695140380026
FRS,XMN-a,EUR,22480.63606885608
FRS,XMN-a,XOE,12785.108859690306
FRS,XMN-a,OPC,3850.8568005268376
FRS,XMN-a,SAS,4622.136561944631
FRS,XMN-a,XLC,7399.814508561533
FRS,XMN-a,ROW,5698.583077307768
FRS,P_C-a,RUS,5.177355289459228
FRS,P_C-a,EUR,11.678837523158334
FRS,P_C-a,XOE,6.82807556062471
FRS,P_C-a,SAS,2.874667279426403
FRS,P_C-a,ROW,4.089576703945224
FRS,ETD-a,CHN,0.7653236764743252
FRS,ETD-a,XEA,48.50794771090759
FRS,ETD-a,EUR,78.56668074543995
FRS,ETD-a,XOE,7.7541242545994455
FRS,ETD-a,SAS,5.145470673787465
FRS,ETD-a,XLC,4.812291266804934
FRS,ETD-a,ROW,9.231549199473765
FRS,CLP-a,XEA,6.699821911306558
FRS,CLP-a,EUR,19.471838319674134
FRS,CLP-a,XOE,2.534777499837219
FRS,CLP-a,OPC,0.056725673377513885
FRS,CLP-a,SAS,8.25314970415235
FRS,CLP-a,XLC,1.829267734298802
FRS,CLP-a,ROW,3.125514198934257
FRS,OLP-a,XEA,0.7305893510874573
FRS,OLP-a,EUR,2.5471677973098963
FRS,OLP-a,SAS,0.42541150073011863
FRS,OLP-a,XLC,1.0015538650736335
FRS,OLP-a,ROW,0.2964797986911328
FRS,GSP-a,XEA,4.957194014144206
FRS,GSP-a,EUR,4.793007270505767
FRS,GSP-a,XOE,0.7621478427618057
FRS,GSP-a,SAS,0.5347514535535547
FRS,GSP-a,XLC,0.46960838007381983
FRS,GSP-a,ROW,0.6408588820787555
FRS,NUC-a,CHN,0.06223456530942624
FRS,NUC-a,USA,0.24046418063555894
FRS,NUC-a,EUR,69.88945488724858
FRS,NUC-a,XOE,2.52814109029714
FRS,NUC-a,OPC,0.019374081864953038
FRS,NUC-a,SAS,0.6565993029693905
FRS,NUC-a,ROW,3.5917573248160264
FRS,HYD-a,CHN,0.4157402085908943
FRS,HYD-a,XEA,62.32626627817263
FRS,HYD-a,EUR,35.09731216900764
FRS,HYD-a,XOE,6.646520306916499
FRS,HYD-a,OPC,0.08315632312441146
FRS,HYD-a,SAS,1.453658496453205
FRS,HYD-a,XLC,2.3198827992204984
FRS,HYD-a,ROW,1.8482957529484108
FRS,SOL-a,CHN,0.0012423720240590473
FRS,SOL-a,XEA,9.090690411453857e-05
FRS,SOL-a,USA,0.0012741382593110628
FRS,SOL-a,EUR,0.8003323075522246
FRS,SOL-a,XOE,0.028167637801743695
FRS,SOL-a,SAS,0.021065304832061253
FRS,SOL-a,XLC,9.700126225053223e-05
FRS,SOL-a,ROW,0.005211605779125373
FRS,WND-a,CHN,0.050774219924921545
FRS,WND-a,EUR,8.499773572071945
FRS,WND-a,XOE,0.4708444955467712
FRS,WND-a,OPC,0.0032795949373394247
FRS,WND-a,SAS,0.49633542663711117
FRS,WND-a,XLC,0.06765038237197336
FRS,WND-a,ROW,0.18726327743642654
FRS,XEL-a,CHN,0.04700119364705403
FRS,XEL-a,EUR,53.37657176014227
FRS,XEL-a,XOE,0.474311023732298
FRS,XEL-a,OPC,0.03813600167632103
FRS,XEL-a,SAS,0.47699905048791374
FRS,XEL-a,XLC,1.1145321735942006
FRS,XEL-a,ROW,0.07390058534499802
FRS,SRV-a,CHN,3756.117449043226
FRS,SRV-a,XEA,4003.9364178975
FRS,SRV-a,USA,520.314589538151
FRS,SRV-a,RUS,3763.2592005725314
FRS,SRV-a,EUR,2614.1385940648443
FRS,SRV-a,XOE,2559.6934665008293
FRS,SRV-a,OPC,338.2349240941825
FRS,SRV-a,SAS,4248.959298055094
FRS,SRV-a,XLC,1442.121505517908
FRS,SRV-a,ROW,2600.2608799703075
COA,AGR-a,CHN,633.1505744382126
COA,AGR-a,XEA,1.9654430743930855
COA,AGR-a,RUS,6.351187034684699
COA,AGR-a,EUR,143.3855350118136
COA,AGR-a,XOE,11.123948922720926
COA,AGR-a,OPC,17.41933549918475
COA,AGR-a,ROW,32.02522593334813
COA,FRS-a,CHN,48.80120880395879
COA,FRS-a,XEA,1.6646829617435501
COA,FRS-a,RUS,2.3693823814392085
COA,FRS-a,EUR,15.718611288480586
COA,FRS-a,XOE,0.37732379101180413
COA,FRS-a,OPC,0.12536849151886176
COA,FRS-a,ROW,10.819325420093833
COA,COA-a,CHN,3217.0544051398597
COA,COA-a,XEA,13.720367780896412
COA,COA-a,USA,38.01085120112179
COA,COA-a,RUS,63.34061813354492
COA,COA-a,EUR,21.6985735363196
COA,COA-a,XOE,6.425801595672965
COA,COA-a,OPC,25.347718660715145
COA,COA-a,SAS,6.94154505693398
COA,COA-a,XLC,1.035431762779689
COA,COA-a,ROW,22.391154525013793
COA,OIL-a,CHN,3.4675230694125663
COA,OIL-a,XEA,0.6846492714213532
COA,GAS-a,CHN,472.4374712614434
COA,GAS-a,XEA,5.0210151530780465
COA,GAS-a,USA,279.0890024807164
COA,GAS-a,RUS,2.562894467264414
COA,GAS-a,EUR,63.44221709593561
COA,GAS-a,XOE,0.5915851068622615
COA,GAS-a,OPC,0.4959861787358637
COA,GAS-a,SAS,8.714836659493667
COA,GAS-a,XLC,0.22317661094381558
COA,GAS-a,ROW,494.2352548244093
COA,OXT-a,CHN,310.88817150324707
COA,OXT-a,XEA,20.14568448881394
COA,OXT-a,USA,2.104060425504965
COA,OXT-a,RUS,1.6206934452056885
COA,OXT-a,EUR,19.159970725870608
COA,OXT-a,XOE,42.488397509849165
COA,OXT-a,OPC,155.54466096986906
COA,OXT-a,SAS,9.993440130732598
COA,OXT-a,XLC,1.295709738276567
COA,OXT-a,ROW,45.80570003676489
COA,EIT-a,CHN,21431.50467110995
COA,EIT-a,XEA,2442.591772948568
COA,EIT-a,USA,1945.1311995375108
COA,EIT-a,RUS,169.5340979525641
COA,EIT-a,EUR,1283.1225519564202
COA,EIT-a,XOE,553.9641337044335
COA,EIT-a,OPC,770.9583584644519
COA,EIT-a,SAS,2314.896287493837
COA,EIT-a,XLC,235.25453702598315
COA,EIT-a,ROW,1159.1439211942393
COA,XMN-a,CHN,3418.6802473979737
COA,XMN-a,XEA,523.756980071532
COA,XMN-a,USA,620.5897355278148
COA,XMN-a,RUS,26.9891773192212
COA,XMN-a,EUR,196.96563916731995
COA,XMN-a,XOE,157.06988012788398
COA,XMN-a,OPC,127.54669358653204
COA,XMN-a,SAS,240.46130191594557
COA,XMN-a,XLC,43.88716139050081
COA,XMN-a,ROW,136.20657815236206
COA,P_C-a,CHN,28901.399744015496
COA,P_C-a,XEA,11.240081850156907
COA,P_C-a,USA,1299.5283916907954
COA,P_C-a,RUS,2474.5950335052594
COA,P_C-a,EUR,2891.4962562672417
COA,P_C-a,XOE,919.7198329131156
COA,P_C-a,OPC,354.25060157023904
COA,P_C-a,SAS,201.07097843900317
COA,P_C-a,XLC,167.6413274506084
COA,P_C-a,ROW,5362.450404638873
COA,ETD-a,OPC,1.4784213743251045
COA,ETD-a,XLC,1.12610801138812
COA,ETD-a,ROW,1.3475489815758968
COA,CLP-a,CHN,82869.12439142469
COA,CLP-a,XEA,4872.934888903743
COA,CLP-a,USA,61342.747550159744
COA,CLP-a,RUS,7712.608806956409
COA,CLP-a,EUR,19055.36091097318
COA,CLP-a,XOE,9737.79101113462
COA,CLP-a,OPC,1440.3528067809077
COA,CLP-a,SAS,7537.203730882315
COA,CLP-a,XLC,675.2458927640428
COA,CLP-a,ROW,13312.56289920891
COA,OLP-a,OPC,43.31016210005089
COA,OLP-a,XLC,17.070937909905364
COA,GSP-a,OPC,0.6992982819809597
COA,XEL-a,EUR,35.796283187371095
COA,XEL-a,XLC,0.023598169966085557
COA,SRV-a,CHN,2512.6007300814877
COA,SRV-a,XEA,541.6013113709279
COA,SRV-a,USA,209.9875239097731
COA,SRV-a,RUS,302.9315358449603
COA,SRV-a,EUR,173.28744657593384
COA,SRV-a,OPC,119.4029659285556
COA,SRV-a,SAS,201.3561465297463
COA,SRV-a,ROW,719.3386902867956
OIL,AGR-a,XEA,4.977758338260199
OIL,AGR-a,ROW,2.210190323761435
OIL,FRS-a,XEA,0.46708098616867905
OIL,FRS-a,RUS,7.808588504791259
OIL,FRS-a,OPC,0.07864296066918541
OIL,FRS-a,ROW,0.13128944211887356
OIL,COA-a,RUS,0.7179782390594482
OIL,COA-a,EUR,1.8133154284186617
OIL,COA-a,OPC,0.10359790423922277
OIL,OIL-a,CHN,1322.7228119050524
OIL,OIL-a,XEA,1.214450190514713
OIL,OIL-a,USA,19.43717157212657
OIL,OIL-a,RUS,92.98081207275389
OIL,OIL-a,EUR,6.253089116725504
OIL,OIL-a,XOE,48.209072079043835
OIL,OIL-a,OPC,498.3350109336898
OIL,OIL-a,XLC,50.02171207979258
OIL,OIL-a,ROW,8.51934011921692
OIL,GAS-a,CHN,703.8495479516401
OIL,GAS-a,XEA,17.247677153486606
OIL,GAS-a,USA,117.35225856847171
OIL,GAS-a,RUS,47.86853766441345
OIL,GAS-a,EUR,199.25888161600292
OIL,GAS-a,XOE,38.59688343847665
OIL,GAS-a,OPC,200.16659591913776
OIL,GAS-a,SAS,29.848483792912088
OIL,GAS-a,XLC,3.256553279607564
OIL,GAS-a,ROW,15.532806671301486
OIL,OXT-a,XEA,3.915542245820352
OIL,OXT-a,RUS,0.8578373789787292
OIL,OXT-a,XOE,4.406407973903697
OIL,OXT-a,OPC,6.896387762120867
OIL,OXT-a,SAS,0.12878691216951516
OIL,OXT-a,XLC,0.7269101465661642
OIL,OXT-a,ROW,1.0753281064051454
OIL,EIT-a,CHN,506.1737731380827
OIL,EIT-a,XEA,1104.7348395865797
OIL,EIT-a,USA,19.811379151608314
OIL,EIT-a,RUS,65.64850479364394
OIL,EIT-a,EUR,51.9913478396262
OIL,EIT-a,XOE,18.137746446492656
OIL,EIT-a,OPC,2662.7633544619453
OIL,EIT-a,XLC,285.2978999556415
OIL,EIT-a,ROW,56.45902034633293
OIL,XMN-a,XEA,18.599045248782332
OIL,XMN-a,RUS,27.359246860258278
OIL,XMN-a,OPC,567.6594007036291
OIL,XMN-a,XLC,159.0616674268158
OIL,XMN-a,ROW,16.369708048998522
OIL,P_C-a,CHN,117728.24472982092
OIL,P_C-a,XEA,48870.4892911073
OIL,P_C-a,USA,221642.19670019895
OIL,P_C-a,RUS,164222.25704200438
OIL,P_C-a,EUR,60997.51781865124
OIL,P_C-a,XOE,54849.20747881995
OIL,P_C-a,OPC,285242.0496870335
OIL,P_C-a,SAS,25639.20531551358
OIL,P_C-a,XLC,57791.22210982041
OIL,P_C-a,ROW,40465.75230575936
OIL,ETD-a,OPC,0.6937896845774957
OIL,OLP-a,CHN,72.77603569214745
OIL,OLP-a,XEA,103.76292133204446
OIL,OLP-a,USA,11.496623260812417
OIL,OLP-a,RUS,566.4852510492732
OIL,OLP-a,EUR,1695.4939365051691
OIL,OLP-a,XOE,81.2767215562053
OIL,OLP-a,OPC,17836.678723710564
OIL,OLP-a,SAS,0.28378530021882276
OIL,OLP-a,XLC,844.58884389085
OIL,OLP-a,ROW,128.33401298216822
OIL,GSP-a,OPC,3.096812574091018
OIL,SRV-a,XEA,68.12174316253262
OIL,SRV-a,RUS,18.698750758900353
OIL,SRV-a,OPC,370.43848645823687
OIL,SRV-a,XLC,24.801915656914172
OIL,SRV-a,ROW,24.82234477570982
GAS,AGR-a,CHN,3.39943761941989
GAS,AGR-a,USA,223.02719784593992
GAS,AGR-a,RUS,30.894305513240397
GAS,AGR-a,EUR,204.6946744864928
GAS,AGR-a,XOE,78.17055761649807
GAS,AGR-a,OPC,44.58907976377995
GAS,AGR-a,SAS,48.03522482733956
GAS,AGR-a,XLC,3.738788862754193
GAS,AGR-a,ROW,98.26658136484318
GAS,FRS-a,CHN,0.5315852273860815
GAS,FRS-a,USA,3.44087435386188
GAS,FRS-a,RUS,79.88193066711618
GAS,FRS-a,EUR,5.5602587394091225
GAS,FRS-a,XOE,6.764113334716398
GAS,FRS-a,OPC,3.775073131891019
GAS,FRS-a,SAS,1.068189677703507
GAS,FRS-a,XLC,0.06492059140470574
GAS,FRS-a,ROW,1.0166553660818631
GAS,COA-a,CHN,0.9620540212911424
GAS,COA-a,USA,7.424031121947534
GAS,COA-a,RUS,0.6019496619701385
GAS,COA-a,EUR,1.5719942979209158
GAS,COA-a,XOE,12.14488467406427
GAS,COA-a,OPC,0.0853533800879415
GAS,COA-a,SAS,0.031739776164800136
GAS,COA-a,ROW,0.8019040839059928
GAS,OIL-a,CHN,100.54706013939372
GAS,OIL-a,XEA,1335.6705876120031
GAS,OIL-a,USA,1591.089719550827
GAS,OIL-a,RUS,886.6270145003082
GAS,OIL-a,EUR,792.5457646380626
GAS,OIL-a,XOE,947.2561532599453
GAS,OIL-a,OPC,4599.402489435393
GAS,OIL-a,SAS,730.4774556317924
GAS,OIL-a,XLC,1339.332644933366
GAS,OIL-a,ROW,628.571153317188
GAS,GAS-a,CHN,92.08246796705967
GAS,GAS-a,XEA,3812.9980394777667
GAS,GAS-a,USA,5043.960039170116
GAS,GAS-a,RUS,1975.1308768531187
GAS,GAS-a,EUR,1836.343437565628
GAS,GAS-a,XOE,2288.591664180131
GAS,GAS-a,OPC,7463.35285383231
GAS,GAS-a,SAS,1602.2720533342228
GAS,GAS-a,XLC,1209.9384838781677
GAS,GAS-a,ROW,2432.4213795078276
GAS,OXT-a,CHN,41.85706501939099
GAS,OXT-a,XEA,101.31126719271325
GAS,OXT-a,USA,351.5650635528573
GAS,OXT-a,RUS,249.75506933557836
GAS,OXT-a,EUR,66.19413522026258
GAS,OXT-a,XOE,1213.977807978052
GAS,OXT-a,OPC,478.2880615398753
GAS,OXT-a,SAS,119.73336966534994
GAS,OXT-a,XLC,273.0695862300456
GAS,OXT-a,ROW,131.53360784471988
GAS,EIT-a,CHN,703.1463416728111
GAS,EIT-a,XEA,7094.14786009438
GAS,EIT-a,USA,9517.998242096883
GAS,EIT-a,RUS,13465.130175820681
GAS,EIT-a,EUR,4484.381862957395
GAS,EIT-a,XOE,4250.62909036194
GAS,EIT-a,OPC,14557.011074171995
GAS,EIT-a,SAS,5382.554884925923
GAS,EIT-a,XLC,3322.375572448713
GAS,EIT-a,ROW,5134.121897897743
GAS,XMN-a,CHN,518.6620206152423
GAS,XMN-a,XEA,1109.3669592770852
GAS,XMN-a,USA,5117.8869154390995
GAS,XMN-a,RUS,959.6424283996502
GAS,XMN-a,EUR,1903.0481916342856
GAS,XMN-a,XOE,546.840908221295
GAS,XMN-a,OPC,2187.99574115125
GAS,XMN-a,SAS,1180.4521659653178
GAS,XMN-a,XLC,524.6202865748381
GAS,XMN-a,ROW,1411.5728204643206
GAS,P_C-a,CHN,183.38603062164043
GAS,P_C-a,XEA,4836.0473775844575
GAS,P_C-a,USA,4930.690555753557
GAS,P_C-a,RUS,4316.111970279652
GAS,P_C-a,EUR,5530.014686742719
GAS,P_C-a,XOE,2977.279042318765
GAS,P_C-a,OPC,24661.360323343273
GAS,P_C-a,SAS,1458.5740528630329
GAS,P_C-a,XLC,3242.7891679572444
GAS,P_C-a,ROW,1136.636062652011
GAS,ETD-a,XLC,0.13639708273400553
GAS,ETD-a,ROW,1.9193265421979782
GAS,CLP-a,ROW,0.9374259044859726
GAS,GSP-a,CHN,622.9961862295352
GAS,GSP-a,XEA,14618.083208493961
GAS,GSP-a,USA,29782.856277863968
GAS,GSP-a,RUS,60626.49186173442
GAS,GSP-a,EUR,6623.940127063828
GAS,GSP-a,XOE,5167.978669462525
GAS,GSP-a,OPC,19183.85870431278
GAS,GSP-a,SAS,9069.234663305879
GAS,GSP-a,XLC,5652.8241324471
GAS,GSP-a,ROW,16550.602724701854
GAS,XEL-a,EUR,33.1642964030775
GAS,XEL-a,ROW,0.004867510422363378
GAS,SRV-a,CHN,937.806134184056
GAS,SRV-a,XEA,1199.1992533790176
GAS,SRV-a,USA,14085.676600867278
GAS,SRV-a,RUS,8289.084201155401
GAS,SRV-a,EUR,2468.838708447868
GAS,SRV-a,XOE,2481.2196388211582
GAS,SRV-a,OPC,2660.1977583858848
GAS,SRV-a,SAS,2366.5119241475036
GAS,SRV-a,XLC,508.6600225198189
GAS,SRV-a,ROW,5847.629174745011
P_C,AGR-a,CHN,6932.14690684879
P_C,AGR-a,XEA,2772.1723493809486
P_C,AGR-a,USA,10536.306560232926
P_C,AGR-a,RUS,3193.543755660251
P_C,AGR-a,EUR,10914.337702022098
P_C,AGR-a,XOE,6770.011064570098
P_C,AGR-a,OPC,6566.368238914996
P_C,AGR-a,SAS,6826.23202778992
P_C,AGR-a,XLC,4458.452740800971
P_C,AGR-a,ROW,8183.822864514611
P_C,FRS-a,CHN,649.8691799722685
P_C,FRS-a,XEA,215.9085065133382
P_C,FRS-a,USA,187.27069179133176
P_C,FRS-a,RUS,1579.7786792516733
P_C,FRS-a,EUR,1036.8578158288524
P_C,FRS-a,XOE,964.6565589904785
P_C,FRS-a,OPC,173.1184368060567
P_C,FRS-a,SAS,300.9598018534805
P_C,FRS-a,XLC,316.6951085864404
P_C,FRS-a,ROW,446.96184694807
P_C,COA-a,CHN,1935.2601520720848
P_C,COA-a,XEA,1.1708304209142026
P_C,COA-a,USA,6.636828959481273
P_C,COA-a,RUS,996.5500924190816
P_C,COA-a,EUR,69.13424011097263
P_C,COA-a,XOE,1009.9783326718557
P_C,COA-a,OPC,64.93417056648263
P_C,COA-a,SAS,0.9402400504074513
P_C,COA-a,XLC,1.6844750616643982
P_C,COA-a,ROW,63.48084802059244
P_C,OIL-a,CHN,1142.1104981558383
P_C,OIL-a,XEA,6.71631525854113
P_C,OIL-a,USA,2.642278085216643
P_C,OIL-a,RUS,327.4219970703125
P_C,OIL-a,EUR,412.5826246318961
P_C,OIL-a,XOE,448.10036262515456
P_C,OIL-a,OPC,1433.5015219649067
P_C,OIL-a,SAS,1.5192429913677763
P_C,OIL-a,XLC,2.132896380630912
P_C,OIL-a,ROW,365.04750411826035
P_C,GAS-a,CHN,1950.6739254510314
P_C,GAS-a,XEA,10.106856235795293
P_C,GAS-a,USA,6.174523138409229
P_C,GAS-a,RUS,322.68983477484346
P_C,GAS-a,EUR,320.32874000836557
P_C,GAS-a,XOE,665.6406437589582
P_C,GAS-a,OPC,204.07462672756424
P_C,GAS-a,SAS,0.5969141026829116
P_C,GAS-a,XLC,4.485020061800329
P_C,GAS-a,ROW,274.4804173580662
P_C,OXT-a,CHN,3489.1564888642347
P_C,OXT-a,XEA,966.0915898550585
P_C,OXT-a,USA,282.3853841364936
P_C,OXT-a,RUS,1314.553668490499
P_C,OXT-a,EUR,1244.8758856939676
P_C,OXT-a,XOE,3948.3138523310618
P_C,OXT-a,OPC,2357.210823180436
P_C,OXT-a,SAS,1471.582912321219
P_C,OXT-a,XLC,1539.4707384775948
P_C,OXT-a,ROW,1596.0424497280012
P_C,EIT-a,CHN,126582.83839747017
P_C,EIT-a,XEA,38877.45269958565
P_C,EIT-a,USA,63400.30096536258
P_C,EIT-a,RUS,32359.902847623245
P_C,EIT-a,EUR,93231.2962585846
P_C,EIT-a,XOE,94460.86778845411
P_C,EIT-a,OPC,42737.21279469694
P_C,EIT-a,SAS,24909.128456390023
P_C,EIT-a,XLC,8811.43107206695
P_C,EIT-a,ROW,12670.638726867848
P_C,XMN-a,CHN,20591.466245603795
P_C,XMN-a,XEA,5814.065090320206
P_C,XMN-a,USA,8865.027905470966
P_C,XMN-a,RUS,1668.248831908471
P_C,XMN-a,EUR,10840.296963206023
P_C,XMN-a,XOE,12166.547864691183
P_C,XMN-a,OPC,7465.046826593038
P_C,XMN-a,SAS,3945.4302754929718
P_C,XMN-a,XLC,2435.16450852901
P_C,XMN-a,ROW,3562.14177007533
P_C,P_C-a,CHN,135496.87662855096
P_C,P_C-a,XEA,19452.189479620065
P_C,P_C-a,USA,63237.57835154217
P_C,P_C-a,RUS,28874.356582235258
