COMM,ACTS,REG,value
FRS,AGR-a,CHN,222.293118143378
FRS,AGR-a,XEA,89.37628804648831
FRS,AGR-a,USA,24.130187060574013
FRS,AGR-a,RUS,44.21358519047499
FRS,AGR-a,EUR,380.991714955954
FRS,AGR-a,XOE,585.077430708934
FRS,AGR-a,OPC,580.6386548059276
FRS,AGR-a,SAS,84.78088114758286
FRS,AGR-a,XLC,167.31926944348658
FRS,AGR-a,ROW,251.62622630721924
FRS,FRS-a,CHN,2500.2190276563333
FRS,FRS-a,XEA,274.089927765942
FRS,FRS-a,USA,619.8114194098389
FRS,FRS-a,RUS,41.05562210083008
FRS,FRS-a,EUR,8522.66236896219
FRS,FRS-a,XOE,4000.7126598358154
FRS,FRS-a,OPC,1584.762029318721
FRS,FRS-a,SAS,33.272495280328435
FRS,FRS-a,XLC,1427.9922866228258
FRS,FRS-a,ROW,822.3764877070458
FRS,COA-a,CHN,1111.7950786685624
FRS,COA-a,XEA,90.46695657368788
FRS,COA-a,USA,36.36114407447254
FRS,COA-a,RUS,303.2086137319247
FRS,COA-a,EUR,36.019509096168235
FRS,COA-a,XOE,37.67418850958347
FRS,COA-a,OPC,3.891473716409651
FRS,COA-a,XLC,0.3417260561559581
FRS,COA-a,ROW,141.7738841810655
FRS,OIL-a,CHN,2.3582276320067392
FRS,OIL-a,XEA,2.994950565240915
FRS,OIL-a,USA,0.82449106125033
FRS,OIL-a,RUS,34.64008712768555
FRS,OIL-a,EUR,9.5080284415795
FRS,OIL-a,XOE,10.256720439181663
FRS,OIL-a,XLC,1.0871684881831298
FRS,OIL-a,ROW,0.5889244335585718
FRS,GAS-a,XEA,145.6305986457598
FRS,GAS-a,RUS,4.405167929828167
FRS,GAS-a,EUR,7.945088375574939
FRS,GAS-a,XOE,2.5381678017169946
FRS,GAS-a,OPC,5.051879493026674
FRS,GAS-a,SAS,0.13952806328414247
FRS,GAS-a,XLC,5.577716742079489
FRS,GAS-a,ROW,1.8474899801024791
FRS,OXT-a,CHN,233.15878058569925
FRS,OXT-a,XEA,44.917287088322404
FRS,OXT-a,USA,2.254481092051712
FRS,OXT-a,RUS,31.22841262817383
FRS,OXT-a,EUR,62.237630951050946
FRS,OXT-a,XOE,181.60882411617786
FRS,OXT-a,OPC,46.663917660844156
FRS,OXT-a,SAS,90.26526561748706
FRS,OXT-a,XLC,69.26708277164468
FRS,OXT-a,ROW,200.97922145532465
FRS,EIT-a,CHN,16945.034333893847
FRS,EIT-a,XEA,2253.183971158729
FRS,EIT-a,USA,551.7141487276137
FRS,EIT-a,RUS,3566.19417970096
FRS,EIT-a,EUR,7876.603645495563
FRS,EIT-a,XOE,2196.0198807287957
FRS,EIT-a,OPC,4382.057044904232
FRS,EIT-a,SAS,1519.1058744419452
FRS,EIT-a,XLC,878.4442379016759
FRS,EIT-a,ROW,1918.0071633536777
FRS,XMN-a,CHN,35535.46150391878
FRS,XMN-a,XEA,11014.160323915366
FRS,XMN-a,USA,14184.7712798445
FRS,XMN-a,RUS,4334.6953728726085
FRS,XMN-a,EUR,22480.636175015763
FRS,XMN-a,XOE,12785.108768843851
FRS,XMN-a,OPC,3850.8567303393893
FRS,XMN-a,SAS,4622.136682224219
FRS,XMN-a,XLC,7399.814537039954
FRS,XMN-a,ROW,5698.583235833524
FRS,P_C-a,RUS,5.177355289459228
FRS,P_C-a,EUR,11.678837055634403
FRS,P_C-a,XOE,6.82807556062471
FRS,P_C-a,SAS,2.874667279426403
FRS,P_C-a,ROW,4.089585320087509
FRS,ETD-a,CHN,0.7653236764743252
FRS,ETD-a,XEA,48.50794382904375
FRS,ETD-a,EUR,78.56668135638756
FRS,ETD-a,XOE,7.7541242545994455
FRS,ETD-a,SAS,5.145470673787465
FRS,ETD-a,XLC,4.812291266804934
FRS,ETD-a,ROW,9.2315491249617
FRS,CLP-a,XEA,6.69982142420207
FRS,CLP-a,EUR,19.471838356927037
FRS,CLP-a,XOE,2.534777499837219
FRS,CLP-a,OPC,0.056725673377513885
FRS,CLP-a,SAS,8.25314970415235
FRS,CLP-a,XLC,1.829267734298802
FRS,CLP-a,ROW,3.1255141840292016
FRS,OLP-a,XEA,0.7305893197699629
FRS,OLP-a,EUR,2.54716781618373
FRS,OLP-a,SAS,0.42541150073011863
FRS,OLP-a,XLC,1.0015538650736335
FRS,OLP-a,ROW,0.2964797995067485
FRS,GSP-a,XEA,4.957193502804266
FRS,GSP-a,EUR,4.793007297048461
FRS,GSP-a,XOE,0.7621478427618057
FRS,GSP-a,SAS,0.5347514535535547
FRS,GSP-a,XLC,0.46960838007381983
FRS,GSP-a,ROW,0.6408588536734158
FRS,NUC-a,CHN,0.06223456530942624
FRS,NUC-a,USA,0.24046418063555894
FRS,NUC-a,EUR,69.88945600483567
FRS,NUC-a,XOE,2.52814109029714
FRS,NUC-a,OPC,0.019374081864953038
FRS,NUC-a,SAS,0.6565993029693905
FRS,NUC-a,ROW,3.5917573024617875
FRS,HYD-a,CHN,0.4157402085908943
FRS,HYD-a,XEA,62.32626246161973
FRS,HYD-a,EUR,35.097312215573766
FRS,HYD-a,XOE,6.646520306916499
FRS,HYD-a,OPC,0.08315632312441146
FRS,HYD-a,SAS,1.453658496453205
FRS,HYD-a,XLC,2.3198827992204984
FRS,HYD-a,ROW,1.8482957119519554
FRS,SOL-a,CHN,0.0012423720240590473
FRS,SOL-a,XEA,9.09068968310002e-05
FRS,SOL-a,USA,0.0012741382593110628
FRS,SOL-a,EUR,0.8003323155921578
FRS,SOL-a,XOE,0.028167637801743695
FRS,SOL-a,SAS,0.021065304832061253
FRS,SOL-a,XLC,9.700126225053223e-05
FRS,SOL-a,ROW,0.005211605665672523
FRS,WND-a,CHN,0.050774219924921545
FRS,WND-a,EUR,8.499773714564299
FRS,WND-a,XOE,0.4708444955467712
FRS,WND-a,OPC,0.0032795949373394247
FRS,WND-a,SAS,0.49633542663711117
FRS,WND-a,XLC,0.06765038237197336
FRS,WND-a,ROW,0.18726326831770965
FRS,XEL-a,CHN,0.04700119364705403
FRS,XEL-a,EUR,53.37657178295967
FRS,XEL-a,XOE,0.474311023732298
FRS,XEL-a,OPC,0.03813600167632103
FRS,XEL-a,SAS,0.47699905048791374
FRS,XEL-a,XLC,1.1145321735942006
FRS,XEL-a,ROW,0.07390058381658238
FRS,SRV-a,CHN,3756.117449043226
FRS,SRV-a,XEA,4003.936173623835
FRS,SRV-a,USA,520.3146048010649
FRS,SRV-a,RUS,3763.2589411297345
FRS,SRV-a,EUR,2614.138618676428
FRS,SRV-a,XOE,2559.693458319565
FRS,SRV-a,OPC,338.2349194017137
FRS,SRV-a,SAS,4248.959305923492
FRS,SRV-a,XLC,1442.1214817449852
FRS,SRV-a,ROW,2600.260874526759
COA,AGR-a,CHN,708.5654779931921
COA,AGR-a,XEA,2.0072213428312713
COA,AGR-a,RUS,6.649153038102668
COA,AGR-a,EUR,143.42219469002504
COA,AGR-a,XOE,11.175275953826683
COA,AGR-a,OPC,17.44042280666771
COA,AGR-a,ROW,32.02346735007168
COA,FRS-a,CHN,54.61394118340651
COA,FRS-a,XEA,1.678377985931759
COA,FRS-a,RUS,2.4464542865753174
COA,FRS-a,EUR,22.009926367215936
COA,FRS-a,XOE,0.3825254585590301
COA,FRS-a,OPC,0.12536849151886176
COA,FRS-a,ROW,10.765380333554983
COA,COA-a,CHN,3217.0544051398597
COA,COA-a,XEA,13.720381132448514
COA,COA-a,USA,38.01093893935769
COA,COA-a,RUS,63.34062194824219
COA,COA-a,EUR,21.69857707162009
COA,COA-a,XOE,6.42580165527761
COA,COA-a,OPC,25.347718645813988
COA,COA-a,SAS,6.9415455337771945
COA,COA-a,XLC,1.0354377718476646
COA,COA-a,ROW,22.39114620585369
COA,OIL-a,CHN,3.4675230694125663
COA,OIL-a,XEA,0.6846495694458175
COA,GAS-a,CHN,472.4374426551532
