COMM,REG,value
FRS,XOE,202.18958777002987
FRS,OPC,14.99992012666189
FRS,ROW,105.20250053317463
AGR,CHN,71.14165620708084
AGR,XEA,239.6314200400131
AGR,USA,127.23314531880726
AGR,RUS,827.5044535300693
AGR,EUR,155.4724552717039
AGR,XOE,107.85037596906841
AGR,OPC,1047.3947579548374
AGR,SAS,1902.1807965495925
AGR,XLC,12.324682480902117
AGR,ROW,971.275584103787
OXT,XEA,37.1146347114941
OXT,XOE,40.36353668849915
OXT,OPC,215.61007484758738
EIT,CHN,169.11220109428845
EIT,XEA,1288.4301442426406
EIT,USA,494.7319290081964
EIT,RUS,250.6654540018316
EIT,EUR,21546.153812988865
EIT,XOE,544.3285999663603
EIT,OPC,8342.910237671174
EIT,SAS,6324.760621292952
EIT,XLC,1569.6056495036444
EIT,ROW,1478.0254113329297
XMN,CHN,641.3687431685738
XMN,XEA,1826.854510458117
XMN,USA,1773.7681757475948
XMN,RUS,1039.4257740960084
XMN,EUR,4517.726932034886
XMN,XOE,4848.527377297723
XMN,OPC,25216.108747663657
XMN,SAS,9945.160845123173
XMN,XLC,549.1787608034319
XMN,ROW,5100.413449374441
SRV,CHN,967338.536885017
SRV,XEA,322783.3282977751
SRV,USA,2563492.100415809
SRV,RUS,346956.1006065619
SRV,EUR,3923411.7996604913
SRV,XOE,2015264.8127890176
SRV,OPC,914484.3964907419
SRV,SAS,243106.87117365788
SRV,XLC,409423.2105930106
SRV,ROW,496283.1770939531
ELY,XEA,0.004661869240900222
ELY,SAS,0.042915716046828103
