COMM,REG,value
FRS,XOE,202.18958777002987
FRS,OPC,15.007280918449394
FRS,ROW,106.60375637331543
AGR,CHN,71.14165620708084
AGR,XEA,244.23106850577
AGR,USA,127.2578829757532
AGR,RUS,827.504629886942
AGR,EUR,155.43740112320165
AGR,XOE,107.35503132803206
AGR,OPC,1047.6036095133431
AGR,SAS,1815.5097349557232
AGR,XLC,12.322146824455743
AGR,ROW,976.0455608884196
OXT,XEA,38.99179304536669
OXT,XOE,40.36353668849915
OXT,OPC,215.6104635890806
EIT,CHN,169.11220109428845
EIT,XEA,1319.2044380726309
EIT,USA,494.7319290081964
EIT,RUS,264.79249957530686
EIT,EUR,21546.515121351786
EIT,XOE,562.0203876860869
EIT,OPC,8291.608157968578
EIT,SAS,6691.020251709693
EIT,XLC,1578.6560207307496
EIT,ROW,1535.5682539717652
XMN,CHN,641.3687431685738
XMN,XEA,1846.787577517697
XMN,USA,1773.7681757475948
XMN,RUS,1059.52263955224
XMN,EUR,4519.565498799609
XMN,XOE,4849.99011068567
XMN,OPC,25270.043220150324
XMN,SAS,10425.989474502088
XMN,XLC,582.3136474135573
XMN,ROW,5221.7067361912195
SRV,CHN,980218.5646889315
SRV,XEA,323148.33968710084
SRV,USA,2563492.100415809
SRV,RUS,346964.63918818877
SRV,EUR,3927599.1523344764
SRV,XOE,2016077.0109294055
SRV,OPC,915663.5387270725
SRV,SAS,243996.9587315542
SRV,XLC,411250.4249633745
SRV,ROW,498833.14009752014
ELY,XEA,0.004758352548253225
ELY,SAS,0.03873152863012823
