COMM,REG,value
FRS,CHN,53.20850972731478
FRS,XEA,436.0018658313399
FRS,USA,39.61389960352971
FRS,RUS,5.807449340820312
FRS,EUR,346.016238598153
FRS,XOE,237.59313121438026
FRS,OPC,509.29028276406456
FRS,XLC,511.91234501326744
FRS,ROW,1935.7509868338068
P_C,XLC,6.470197554113689
AGR,CHN,51017.281137917365
AGR,XEA,8851.711841126013
AGR,USA,86.7490010975986
AGR,RUS,135.369270327923
AGR,EUR,4357.369140734189
AGR,XOE,2531.5874174023156
AGR,OPC,24522.712536955012
AGR,SAS,1515.4481011439384
AGR,XLC,5908.267260494582
AGR,ROW,5290.571341017636
OXT,CHN,101.02362211305574
OXT,XEA,48.21918423639888
OXT,USA,140.53256492969726
OXT,RUS,11.946571350097656
OXT,EUR,122.40995718725026
OXT,XOE,2248.164312917571
OXT,OPC,276.40581649821246
OXT,SAS,786.2810720208498
OXT,XLC,8996.897566316
OXT,ROW,775.6647000468623
EIT,CHN,217.58760246876903
EIT,XEA,854.9181395177815
EIT,USA,2778.1371894402105
EIT,RUS,453.0583283820398
EIT,EUR,4249.74753754439
EIT,XOE,5858.306777782743
EIT,OPC,23544.282960715078
EIT,SAS,19731.033422860233
EIT,XLC,2028.5488921676465
EIT,ROW,4231.009612736516
XMN,CHN,958625.1372296669
XMN,XEA,79262.30592829087
XMN,USA,801578.066166079
XMN,RUS,48654.86196350612
XMN,EUR,530217.7482642301
XMN,XOE,399316.4960203859
XMN,OPC,206144.1669392049
XMN,SAS,178246.7009972534
XMN,XLC,58073.30227205689
XMN,ROW,117606.39689208739
SRV,CHN,1967428.583320106
SRV,XEA,479154.85188105504
SRV,USA,1707361.062054086
SRV,RUS,260899.19622404245
SRV,EUR,2304422.3285527797
SRV,XOE,1603212.794888451
SRV,OPC,824842.9022434807
SRV,SAS,389786.22303466086
SRV,XLC,422120.96722473763
SRV,ROW,418933.9254473882
ELY,EUR,0.0312584787607193
ELY,XLC,0.06274660203769249
ELY,ROW,0.03203946360494795
