COMM,REG,value
FRS,CHN,53.20850972731478
FRS,XEA,450.1023781475656
FRS,USA,39.61389960352971
FRS,RUS,5.807449340820312
FRS,EUR,346.01623877976095
FRS,XOE,240.17896190285683
FRS,OPC,543.0349727054709
FRS,XLC,512.3177546751284
FRS,ROW,1940.776937351791
P_C,XLC,6.470197554113689
AGR,CHN,51017.281137917365
AGR,XEA,8959.778438414782
AGR,USA,86.7490010975986
AGR,RUS,138.15965414368839
AGR,EUR,4357.597550441736
AGR,XOE,2533.7109078550816
AGR,OPC,25892.11293550463
AGR,SAS,1526.8729463647285
AGR,XLC,5929.288571762572
AGR,ROW,5326.236741520571
OXT,CHN,101.02362211305574
OXT,XEA,48.70015101479599
OXT,USA,140.53256492969726
OXT,RUS,11.946571350097656
OXT,EUR,122.40995718725026
OXT,XOE,2248.164312917571
OXT,OPC,276.40583938639605
OXT,SAS,788.9073927516165
OXT,XLC,8996.897771524342
OXT,ROW,777.4822240431627
EIT,CHN,217.58760246876903
EIT,XEA,857.296981261372
EIT,USA,2778.1371894402105
EIT,RUS,402.462491187153
EIT,EUR,4249.512410095354
EIT,XOE,5961.36494814949
EIT,OPC,23558.4657525269
EIT,SAS,22043.895905410904
EIT,XLC,2029.3652416595778
EIT,ROW,4369.091123567398
XMN,CHN,1015973.370795578
XMN,XEA,81258.22506281603
XMN,USA,814497.6620673176
XMN,RUS,51403.5476127641
XMN,EUR,530842.6938624452
XMN,XOE,406016.449012848
XMN,OPC,225838.1934625128
XMN,SAS,194814.51324968165
XMN,XLC,59645.55508109757
XMN,ROW,124761.86883953934
SRV,CHN,2074958.5882497218
SRV,XEA,485476.69666231313
SRV,USA,1708217.672267399
SRV,RUS,272995.05851619836
SRV,EUR,2313635.419704705
SRV,XOE,1683026.6213468078
SRV,OPC,834694.5004159608
SRV,SAS,389710.6864295191
SRV,XLC,427324.2298429906
SRV,ROW,425694.5713954707
ELY,EUR,0.0312584787607193
ELY,XLC,0.06274660203769249
ELY,ROW,0.03341581430833734
