COMM,REG,value
FRS,CHN,766.8343148283276
FRS,XEA,858.0372296678008
FRS,USA,5260.839213292655
FRS,RUS,143.47528507097246
FRS,EUR,5866.115134117388
FRS,XOE,3461.655120849609
FRS,OPC,5849.843975136584
FRS,SAS,13764.989235594076
FRS,XLC,2626.962591148487
FRS,ROW,7504.1828030769375
COA,CHN,4456.828072616433
COA,XEA,245.7007608814188
COA,RUS,291.1490846236797
COA,EUR,1672.3691738888153
COA,XOE,84.27267152070999
COA,OPC,183.20562925141152
COA,SAS,102.18992267804099
COA,ROW,1285.9754420930335
OIL,XEA,44.37884260350237
GAS,CHN,3171.9713718481707
GAS,XEA,217.48407517490125
GAS,USA,19137.579609353215
GAS,RUS,11006.272691856908
GAS,EUR,27566.41880088496
GAS,XOE,6353.410723662792
GAS,OPC,4673.986816007168
GAS,SAS,3050.986645614897
GAS,XLC,1255.3810326732996
GAS,ROW,10969.950089170521
P_C,CHN,76288.8128711934
P_C,XEA,39829.81405074957
P_C,USA,210551.1176242547
P_C,RUS,28574.91796875
P_C,EUR,285021.3472721031
P_C,XOE,149612.55206369545
P_C,OPC,76564.9953754631
P_C,SAS,56990.492699557806
P_C,XLC,33716.546195577524
P_C,ROW,48330.68969406561
AGR,CHN,144139.9795552324
AGR,XEA,75287.69624859915
AGR,USA,56744.76946505892
AGR,RUS,36042.57271481464
AGR,EUR,54424.30913515412
AGR,XOE,51830.081103231205
AGR,OPC,260091.51686057224
AGR,SAS,227204.73992198205
AGR,XLC,54320.06238373632
AGR,ROW,191196.71865096147
OXT,XEA,729.9145765537402
OXT,EUR,1029.378970863996
OXT,XOE,112.3090100735426
OXT,OPC,826.5920344053884
OXT,SAS,30.53657208351843
OXT,XLC,57.16173403859543
OXT,ROW,929.533122846807
EIT,CHN,67317.32031544046
EIT,XEA,47369.65253710082
EIT,USA,279080.8306100638
EIT,RUS,16571.291583204515
EIT,EUR,337048.70843723684
EIT,XOE,84913.38089703803
EIT,OPC,127594.78550062962
EIT,SAS,38314.00116048009
EIT,XLC,76151.6985413794
EIT,ROW,68866.98742617713
XMN,CHN,873834.801374003
XMN,XEA,397492.2008491395
XMN,USA,1192273.657341217
XMN,RUS,201691.30221559497
XMN,EUR,1900435.3615165295
XMN,XOE,778911.8270518638
XMN,OPC,664170.937343909
XMN,SAS,465509.0133363966
XMN,XLC,452153.48161094444
XMN,ROW,527191.1805091294
SRV,CHN,1329071.8293374276
SRV,XEA,877800.8141114735
SRV,USA,8242771.157891372
SRV,RUS,454203.7995834026
SRV,EUR,6055256.596516458
SRV,XOE,4327947.282948972
SRV,OPC,1560223.6369953768
SRV,SAS,585358.5703338942
SRV,XLC,1197152.7258186801
SRV,ROW,915436.321144013
ELY,CHN,43247.78319441083
ELY,XEA,26725.363879135086
ELY,USA,145884.03438285238
ELY,RUS,42144.598708581514
ELY,EUR,240406.99591676783
ELY,XOE,105055.35916024799
ELY,OPC,71741.81587498255
ELY,SAS,30581.189840867275
ELY,XLC,24839.08221182513
ELY,ROW,63581.899972871244
