COMM,ACTS,REG,value
FRS,AGR-a,CHN,23.1160852122025
FRS,AGR-a,XEA,12.547720115591487
FRS,AGR-a,EUR,61.533150552975165
FRS,AGR-a,XOE,10.282566776951283
FRS,AGR-a,OPC,10.192555003284989
FRS,AGR-a,SAS,5.373031140562104
FRS,AGR-a,XLC,2.3281054543903457
FRS,AGR-a,ROW,14.997867974470838
FRS,FRS-a,CHN,325.2670340692886
FRS,FRS-a,XEA,21.228283675102123
FRS,FRS-a,USA,6.980056738717975
FRS,FRS-a,RUS,0.22729428112506866
FRS,FRS-a,EUR,910.7458720249518
FRS,FRS-a,XOE,2.2696563377976418
FRS,FRS-a,OPC,8.341818855859604
FRS,FRS-a,SAS,4.5473589426070395
FRS,FRS-a,XLC,3.9605679259859103
FRS,FRS-a,ROW,21.403643411600026
FRS,COA-a,CHN,146.70361118208973
FRS,COA-a,XEA,9.440184494711051
FRS,COA-a,USA,1.1361269621163177
FRS,COA-a,RUS,2.27516012881918
FRS,COA-a,EUR,6.825407851346824
FRS,COA-a,XOE,0.9450508784502745
FRS,COA-a,OPC,0.4884126735233267
FRS,COA-a,ROW,7.425359639159179
FRS,OIL-a,XEA,0.41879196218788145
FRS,OIL-a,EUR,1.5161008737702721
FRS,OIL-a,XOE,0.7293365639197873
FRS,GAS-a,EUR,1.5804255411715178
FRS,GAS-a,ROW,0.6620507314149915
FRS,OXT-a,CHN,30.950616490157216
FRS,OXT-a,XEA,1.883787777736022
FRS,OXT-a,RUS,0.20793206989765167
FRS,OXT-a,EUR,15.436959701764861
FRS,OXT-a,XOE,1.0748807751224376
FRS,OXT-a,OPC,0.7328544991128182
FRS,OXT-a,SAS,5.296826669680115
FRS,OXT-a,ROW,4.039944507529718
FRS,EIT-a,CHN,2287.5655506438607
FRS,EIT-a,XEA,187.3257018756775
FRS,EIT-a,USA,338.4817254812908
FRS,EIT-a,RUS,14.502512784181155
FRS,EIT-a,EUR,1286.8090783856917
FRS,EIT-a,XOE,98.75716232654509
FRS,EIT-a,OPC,99.39512004523553
FRS,EIT-a,SAS,167.36563598143562
FRS,EIT-a,XLC,54.37747518130838
FRS,EIT-a,ROW,35.962896270179684
FRS,XMN-a,CHN,5078.5833316830085
FRS,XMN-a,XEA,822.6789875704862
FRS,XMN-a,USA,227.59641429637696
FRS,XMN-a,RUS,44.76481133689006
FRS,XMN-a,EUR,4336.381564623667
FRS,XMN-a,XOE,2422.909189029251
FRS,XMN-a,OPC,79.68968102690505
FRS,XMN-a,SAS,513.6275574776707
FRS,XMN-a,XLC,62.769496736188934
FRS,XMN-a,ROW,335.9927258092968
FRS,ETD-a,EUR,10.176704464036447
FRS,ETD-a,SAS,0.6311253232142362
FRS,ETD-a,ROW,0.2528589860281332
FRS,CLP-a,EUR,2.465980123510235
FRS,CLP-a,SAS,1.0120205300949028
FRS,OLP-a,EUR,0.3697127793878323
FRS,NUC-a,EUR,7.3469004230573765
FRS,NUC-a,SAS,0.08052960003376483
FRS,HYD-a,XEA,0.10475298812001725
FRS,HYD-a,EUR,3.3529441607474837
FRS,HYD-a,XOE,0.14840346596611195
FRS,HYD-a,SAS,0.1783019102489638
FRS,HYD-a,ROW,0.07927400596195046
FRS,SOL-a,USA,2.529170405297125e-05
FRS,SOL-a,EUR,0.2598519954694094
FRS,SOL-a,SAS,0.002583076444719865
FRS,WND-a,EUR,1.5413748376754268
FRS,WND-a,SAS,0.0608618025287557
FRS,WND-a,ROW,0.010834388797767665
FRS,XEL-a,EUR,5.490953053009591
FRS,XEL-a,SAS,0.05849073209199403
FRS,SRV-a,CHN,496.24085412099765
FRS,SRV-a,XEA,51.44662710207869
FRS,SRV-a,RUS,16.211337946690787
FRS,SRV-a,EUR,388.6842367502829
FRS,SRV-a,XOE,135.24185601212966
FRS,SRV-a,SAS,200.6646490942768
FRS,SRV-a,XLC,17.102790041713675
FRS,SRV-a,ROW,29.62584807460126
COA,AGR-a,CHN,66.08438859176921
COA,AGR-a,EUR,22.96283876136331
COA,FRS-a,CHN,5.076655323069033
COA,FRS-a,EUR,6.209846973128662
COA,FRS-a,ROW,0.23058669799607417
COA,COA-a,CHN,336.227186268946
COA,COA-a,XEA,2.051852161144659
COA,COA-a,RUS,0.6577947735786438
COA,COA-a,EUR,4.020766810232089
COA,COA-a,OPC,0.21507709622338922
COA,COA-a,SAS,10.627747706227547
COA,COA-a,ROW,1.278799742207975
COA,GAS-a,CHN,48.95624172174002
COA,GAS-a,EUR,1.308301080869504
COA,GAS-a,SAS,0.2015424172796744
COA,GAS-a,ROW,15.740204195087822
COA,OXT-a,CHN,32.34556462445016
COA,OXT-a,XEA,3.6769017893524065
COA,OXT-a,EUR,27.41443366872053
COA,OXT-a,OPC,25.823546254838547
COA,OXT-a,SAS,16.199485250465717
COA,OXT-a,XLC,9.864117308271373
COA,OXT-a,ROW,1.4431655900860367
COA,EIT-a,CHN,2523.91179686233
COA,EIT-a,XEA,3260.637662129167
COA,EIT-a,RUS,4.52384881163016
COA,EIT-a,EUR,1297.2835392764348
COA,EIT-a,XOE,3243.1109664040755
COA,EIT-a,OPC,842.5762340258567
COA,EIT-a,SAS,3943.078438795402
COA,EIT-a,XLC,111.72335258901796
COA,EIT-a,ROW,601.314372976146
COA,XMN-a,CHN,386.9376739952898
COA,XMN-a,XEA,122.52375919595855
COA,XMN-a,EUR,143.05778542513505
COA,XMN-a,OPC,15.476605483552218
COA,XMN-a,SAS,396.20832378338173
COA,XMN-a,XLC,21.710916989763945
COA,XMN-a,ROW,135.7085270442118
COA,P_C-a,CHN,4058.7187429932105
COA,P_C-a,XEA,1150.9673603313968
COA,P_C-a,USA,812.7257460224063
COA,P_C-a,RUS,2124.062249040442
COA,P_C-a,EUR,7509.950889922002
COA,P_C-a,XOE,15344.653081722448
COA,P_C-a,OPC,1855.7543660542897
COA,P_C-a,SAS,1545.1526025549483
COA,P_C-a,XLC,451.81933778595203
COA,P_C-a,ROW,1341.0168239102625
