COMM,ACTS,REG,value
FRS,AGR-a,CHN,22.844288515141482
FRS,AGR-a,XEA,12.538454615669513
FRS,AGR-a,EUR,61.441096641559305
FRS,AGR-a,XOE,10.046819461961716
FRS,AGR-a,OPC,10.168202994215488
FRS,AGR-a,SAS,5.373031133109222
FRS,AGR-a,XLC,2.328105541858075
FRS,AGR-a,ROW,14.992847105260678
FRS,FRS-a,CHN,325.26700355003493
FRS,FRS-a,XEA,21.228283658333755
FRS,FRS-a,USA,6.980056738717975
FRS,FRS-a,RUS,0.22729428112506866
FRS,FRS-a,EUR,910.7458805549168
FRS,FRS-a,XOE,2.2696564532816406
FRS,FRS-a,OPC,8.341819177078088
FRS,FRS-a,SAS,4.5473589426070395
FRS,FRS-a,XLC,3.9605691223105377
FRS,FRS-a,ROW,21.403643094917843
FRS,COA-a,CHN,146.70362644242772
FRS,COA-a,XEA,9.440184496807209
FRS,COA-a,USA,1.1361269621163177
FRS,COA-a,RUS,2.27516012881918
FRS,COA-a,EUR,6.825407910020147
FRS,COA-a,XOE,0.9450508784502745
FRS,COA-a,OPC,0.48841264372100424
FRS,COA-a,ROW,7.4253598310151165
FRS,OIL-a,XEA,0.4187919323759827
FRS,OIL-a,EUR,1.5161008141656274
FRS,OIL-a,XOE,0.7293365639197873
FRS,GAS-a,EUR,1.5804254741162924
FRS,GAS-a,ROW,0.6620507314149915
FRS,OXT-a,CHN,30.950614582553033
FRS,OXT-a,XEA,1.8837877712146383
FRS,OXT-a,RUS,0.2079320996999741
FRS,OXT-a,EUR,15.436959221668074
FRS,OXT-a,XOE,1.0748807453201155
FRS,OXT-a,OPC,0.7328544842116571
FRS,OXT-a,SAS,5.296826669680115
FRS,OXT-a,ROW,4.039944504734749
FRS,EIT-a,CHN,2287.5650327352005
FRS,EIT-a,XEA,187.32570572329854
FRS,EIT-a,USA,338.4817254812908
FRS,EIT-a,RUS,14.502512814179587
FRS,EIT-a,EUR,1286.809104759733
FRS,EIT-a,XOE,98.75716140267309
FRS,EIT-a,OPC,99.39512017429965
FRS,EIT-a,SAS,167.36564587827294
FRS,EIT-a,XLC,54.377476235075214
FRS,EIT-a,ROW,35.962895760808024
FRS,XMN-a,CHN,5078.5834466160995
FRS,XMN-a,XEA,822.6789976747658
FRS,XMN-a,USA,227.59641231516093
FRS,XMN-a,RUS,44.76481127313499
FRS,XMN-a,EUR,4336.381542464934
FRS,XMN-a,XOE,2422.909250938794
FRS,XMN-a,OPC,79.68967890795201
FRS,XMN-a,SAS,513.6275556303383
FRS,XMN-a,XLC,62.76949630130643
FRS,XMN-a,ROW,335.99273088004963
FRS,ETD-a,EUR,10.1767043383079
FRS,ETD-a,SAS,0.6311253232142362
FRS,ETD-a,ROW,0.2528589807310533
FRS,CLP-a,EUR,2.4659800941590215
FRS,CLP-a,SAS,1.0120205300949028
FRS,OLP-a,EUR,0.36971276310605816
FRS,NUC-a,EUR,7.346900416538119
FRS,NUC-a,SAS,0.08052960003376483
FRS,HYD-a,XEA,0.10475298812001725
FRS,HYD-a,EUR,3.3529441689984196
