COMM,REG,value
FRS,XEA,0.10035048401251496
FRS,USA,0.050301492683373764
FRS,XOE,0.11416016557632246
FRS,OPC,5.313477514017975
FRS,ROW,23.394935123664933
GAS,SAS,0.40745335945776423
P_C,USA,0.05316908735479501
P_C,SAS,0.1823583097848586
P_C,ROW,0.3666722051040489
AGR,CHN,22.04036018444838
AGR,XEA,34.935230697337836
AGR,USA,1.3338528665992262
AGR,RUS,3.2255167127586897
AGR,EUR,206.12980291664127
AGR,XOE,1.7344535254012943
AGR,OPC,274.8274795971728
AGR,SAS,22.579031354337438
AGR,XLC,1.9402911055707672
AGR,ROW,111.16985668755619
OXT,XEA,7.63323769860847
OXT,OPC,260.19012129947305
OXT,ROW,1.003093507139677
EIT,CHN,238.89214431876394
EIT,XEA,451.5696430544968
EIT,USA,819.5858328662565
EIT,RUS,464.58912975492143
EIT,EUR,28661.410518507746
EIT,XOE,721.6550568249619
EIT,OPC,5399.434739902989
EIT,SAS,1040.3280263375839
EIT,XLC,414.91354766226084
EIT,ROW,1986.2702367260606
XMN,CHN,52.40609299799901
XMN,XEA,85.23399973935139
XMN,USA,175.81661630817342
XMN,RUS,235.28704137101704
XMN,EUR,2018.0733844523215
XMN,XOE,1690.061765029493
XMN,OPC,32142.40113780583
XMN,SAS,2155.121827271493
XMN,XLC,785.9036219168617
XMN,ROW,1920.096615513611
SRV,CHN,5955.349607637752
SRV,XEA,6671.391697484552
SRV,USA,684.7151316090906
SRV,RUS,1659.9219091781874
SRV,EUR,59649.61596982555
SRV,XOE,1573.7371912089357
SRV,OPC,44074.5733480945
SRV,SAS,4371.61848084404
SRV,XLC,3821.185252017267
SRV,ROW,11560.6500006469
ELY,XEA,0.0020570015760321084
ELY,SAS,0.0011041675960401637
ELY,ROW,0.00015912071774406992
