COMM,REG,value
FRS,XEA,0.1084769309455538
FRS,USA,0.050301492683373764
FRS,XOE,0.11416016557632246
FRS,OPC,5.738374649722871
FRS,ROW,24.111151458679068
GAS,SAS,0.5038015268735437
P_C,USA,0.05316908735479501
P_C,SAS,0.19220522307489593
P_C,ROW,0.3667441059147082
AGR,CHN,22.04036018444838
AGR,XEA,36.09833724148309
AGR,USA,1.3338528665992262
AGR,RUS,3.2255167127586897
AGR,EUR,195.17146781667208
AGR,XOE,1.7344535254012943
AGR,OPC,275.1885295561249
AGR,SAS,23.66303917162037
AGR,XLC,1.9402912158328391
AGR,ROW,111.31139294844043
OXT,XEA,8.09521528454886
OXT,OPC,260.1901240190555
OXT,ROW,1.0039384938290856
EIT,CHN,238.89214431876394
EIT,XEA,469.92882771576853
EIT,USA,819.5858328662565
EIT,RUS,490.99660045804643
EIT,EUR,29245.072565539605
EIT,XOE,727.6876801159775
EIT,OPC,5311.464259750102
EIT,SAS,1206.2425748916241
EIT,XLC,429.77907639735946
EIT,ROW,1999.234485628095
XMN,CHN,52.40609299799901
XMN,XEA,86.76384176141117
XMN,USA,175.81661630817342
XMN,RUS,243.37156947541914
XMN,EUR,2042.311230433233
XMN,XOE,1690.061765029493
XMN,OPC,32177.499611904484
XMN,SAS,2563.2024702609488
XMN,XLC,838.3796738797867
XMN,ROW,1940.3567872359633
SRV,CHN,6957.15765509886
SRV,XEA,6745.829717671757
SRV,USA,684.7151316090906
SRV,RUS,1659.9777633348006
SRV,EUR,59964.686086828435
SRV,XOE,1584.9698393431672
SRV,OPC,45422.37182116997
SRV,SAS,4431.20238320355
SRV,XLC,3824.9768208559294
SRV,ROW,11666.240502452703
ELY,XEA,0.0020738059022764833
ELY,SAS,0.0011041675960401637
ELY,ROW,0.00015813326107329747
