COMM,REG,value
FRS,XEA,3.993166810564183
FRS,EUR,37.2781975952812
FRS,XOE,5.818724618569831
FRS,XLC,1.906422673568125
FRS,ROW,62.751061053750455
P_C,XLC,4.164916222347335
AGR,CHN,1028.5767767899517
AGR,XEA,470.2286969652638
AGR,USA,10.175278053445137
AGR,RUS,48.68695439819163
AGR,EUR,1157.5914545119854
AGR,XOE,142.14997339481775
AGR,OPC,1489.6315526322358
AGR,SAS,27.592764566426148
AGR,XLC,507.17257235268494
AGR,ROW,385.5306422266271
OXT,XEA,3.1773937552913036
OXT,USA,6.316117445443545
OXT,EUR,7.061308613125219
OXT,XOE,53.44771831028629
OXT,OPC,121.94537793833842
OXT,SAS,89.4437839759665
OXT,XLC,4.267121438139944
OXT,ROW,58.0818801210387
EIT,CHN,23.690268500993206
EIT,XEA,2537.3312165970647
EIT,USA,853.5232202799233
EIT,RUS,68.92077316343784
EIT,EUR,3351.5870386557363
EIT,XOE,2838.533129687421
EIT,OPC,18510.247790205573
EIT,SAS,14640.403516045202
EIT,XLC,396.113341765375
EIT,ROW,2739.255663952269
XMN,CHN,167965.13208739
XMN,XEA,208067.30787664198
XMN,USA,333420.26399830315
XMN,RUS,74543.6397745971
XMN,EUR,554282.2258992898
XMN,XOE,255852.10925578544
XMN,OPC,142838.16359078928
XMN,SAS,68602.03005591832
XMN,XLC,140310.00249345077
XMN,ROW,150799.74219111042
SRV,CHN,13520.70548629278
SRV,XEA,8685.36209463371
SRV,USA,8811.449780661962
SRV,RUS,11399.267164154242
SRV,EUR,99646.93343425599
SRV,XOE,21370.277759008153
SRV,OPC,20029.754934655633
SRV,SAS,6434.330995006722
SRV,XLC,2738.903834213568
SRV,ROW,8786.770057694881
ELY,ROW,0.00138882238504758
