COMM,REG,value
FRS,XEA,4.001841782010467
FRS,EUR,37.42555553595503
FRS,XOE,6.058814511910896
FRS,XLC,1.9570618205163275
FRS,ROW,62.91947944995488
P_C,XLC,4.1793984721764845
AGR,CHN,1222.4074015992646
AGR,XEA,478.3235903401379
AGR,USA,10.175278053445137
AGR,RUS,48.68695439819163
AGR,EUR,1107.3286133802146
AGR,XOE,150.5241231122083
AGR,OPC,1498.0243609934707
AGR,SAS,29.584474112912627
AGR,XLC,512.9040761194927
AGR,ROW,385.799579282143
OXT,XEA,3.211745467420521
OXT,USA,6.316117445443545
OXT,EUR,7.128479233089818
OXT,XOE,53.59456508152653
OXT,OPC,121.94537793833842
OXT,SAS,91.9375019881237
OXT,XLC,4.267508741807834
OXT,ROW,64.81162861632302
EIT,CHN,23.690268500993206
EIT,XEA,2561.745887974514
EIT,USA,853.5232202799233
EIT,RUS,61.29158462584018
EIT,EUR,3403.8352762655995
EIT,XOE,2954.3641247702762
EIT,OPC,18533.405849932995
EIT,SAS,16631.15400470068
EIT,XLC,400.56783992564743
EIT,ROW,2895.576240650645
XMN,CHN,215910.6333988253
XMN,XEA,214043.46892839827
XMN,USA,339155.741430165
XMN,RUS,78832.03467728238
XMN,EUR,566853.4455913558
XMN,XOE,264337.5213185346
XMN,OPC,151120.0287018299
XMN,SAS,85971.13452276339
XMN,XLC,146502.7661460881
XMN,ROW,159444.40246054332
SRV,CHN,15915.476170324853
SRV,XEA,8726.837474363589
SRV,USA,8811.449780661962
SRV,RUS,11896.641998167552
SRV,EUR,102232.74636400548
SRV,XOE,21549.242572281113
SRV,OPC,20386.41191529781
SRV,SAS,6567.506018524085
SRV,XLC,2740.412543317552
SRV,ROW,8898.876473745555
ELY,ROW,0.00138882238504758
