COMM,REG,value
FRS,CHN,68.5505053123122
FRS,XEA,37.33361881964364
FRS,USA,21.50881584441971
FRS,RUS,3.309860561732242
FRS,EUR,846.7622449419724
FRS,XOE,152.92466060544152
FRS,OPC,272.7531224460731
FRS,SAS,1345.898765069472
FRS,XLC,16.251503008606548
FRS,ROW,107.15309112529447
COA,CHN,538.6535717821477
COA,XEA,6.484212416469759
COA,RUS,4.139467239379883
COA,EUR,386.962135934009
COA,XOE,55.44303696627048
COA,SAS,165.55958586794975
COA,ROW,600.2268429344351
OIL,EUR,44.81720176905469
OIL,ROW,22.231556912731918
GAS,CHN,12.740718282096154
GAS,XEA,311.32192629783583
GAS,USA,293.42989552783723
GAS,RUS,314.485265185828
GAS,EUR,16787.155796122315
GAS,XOE,4271.935387681719
GAS,OPC,888.3205246103624
GAS,SAS,28.77151179887284
GAS,XLC,44.215964522181196
GAS,ROW,6215.755382448539
P_C,CHN,6349.213358894608
P_C,XEA,12681.442919729681
P_C,USA,19242.591833321672
P_C,RUS,764.5059550597194
P_C,EUR,53534.29991941827
P_C,XOE,7592.1753489618895
P_C,OPC,16528.141324989287
P_C,SAS,8034.496564375266
P_C,XLC,17808.677512024326
P_C,ROW,19705.64097322405
AGR,CHN,3977.5095857335436
AGR,XEA,12515.124012030908
AGR,USA,18161.373222162143
AGR,RUS,4632.02807893248
AGR,EUR,56489.91284365447
AGR,XOE,15427.757141287964
AGR,OPC,26401.592244659918
AGR,SAS,7836.98185082746
AGR,XLC,6721.437308272486
AGR,ROW,16099.5188628355
OXT,CHN,2.5471049569759954
OXT,XEA,167.105168873879
OXT,USA,104.02354050777929
OXT,RUS,7.407249927520752
OXT,EUR,624.9254619576968
OXT,XOE,68.60638430714607
OXT,OPC,36.38555159862153
OXT,XLC,9.595404840202683
OXT,ROW,734.2218389471474
EIT,CHN,7976.801938129372
EIT,XEA,33939.66518898317
EIT,USA,88195.01456319122
EIT,RUS,18320.750232914885
EIT,EUR,208070.5064131884
EIT,XOE,40548.55656104775
EIT,OPC,50057.74791620915
EIT,SAS,9089.57484425291
EIT,XLC,36382.364549545346
EIT,ROW,41962.89902133957
XMN,CHN,47919.15170551307
XMN,XEA,143068.31120920603
XMN,USA,476407.50397674006
XMN,RUS,78069.65921551351
XMN,EUR,963777.5461867222
XMN,XOE,244654.1924271767
XMN,OPC,214582.04699176445
XMN,SAS,48162.794979553815
XMN,XLC,115135.25271908165
XMN,ROW,159366.97944414004
SRV,CHN,24216.66639673962
SRV,XEA,62360.09723383661
SRV,USA,81311.09500564807
SRV,RUS,28483.538846272568
SRV,EUR,454756.7630806097
SRV,XOE,109075.27195975899
SRV,OPC,61561.423920091904
SRV,SAS,21325.057174934318
SRV,XLC,21798.785245613853
SRV,ROW,39666.963114841266
ELY,CHN,184.60812850755542
ELY,XEA,1298.8376149158678
ELY,USA,1961.308842946236
ELY,RUS,47.642479237925784
ELY,EUR,9261.942177118473
ELY,XOE,385.95362791984314
ELY,OPC,648.8527612842804
ELY,SAS,120.6916178358818
ELY,XLC,297.0425622208962
ELY,ROW,2898.803018663772
