COMM,REG,value
FRS,CHN,88.49653695087567
FRS,XEA,38.597848324583694
FRS,USA,22.14581582690921
FRS,RUS,3.6390710077684263
FRS,EUR,920.1999980257602
FRS,XOE,161.52390623133135
FRS,OPC,273.00891894038244
FRS,SAS,1359.3283581636758
FRS,XLC,16.5364032345801
FRS,ROW,111.80277888435265
COA,CHN,692.6829594865152
COA,XEA,6.8753120162578485
COA,RUS,6.924747467041016
COA,EUR,532.7062108164829
COA,XOE,55.370478785008345
COA,SAS,176.18817245021057
COA,ROW,753.9436366220672
OIL,EUR,55.71594740224987
OIL,ROW,22.54271433637088
GAS,CHN,12.740718282096154
GAS,XEA,325.1825569651629
GAS,USA,293.42989552783723
GAS,RUS,315.0361099744197
GAS,EUR,29037.13258305947
GAS,XOE,5374.919290857819
GAS,OPC,1272.971567271768
GAS,SAS,28.03082836652253
GAS,XLC,59.72229332935065
GAS,ROW,8017.184399214361
P_C,CHN,8084.501102879447
P_C,XEA,14065.134465304187
P_C,USA,22953.03446409184
P_C,RUS,855.4827336384391
P_C,EUR,108037.5748903789
P_C,XOE,13102.29884378318
P_C,OPC,17692.42433626224
P_C,SAS,10468.91917481429
P_C,XLC,23639.257096306475
P_C,ROW,29762.493466050284
AGR,CHN,4963.735365383966
AGR,XEA,12960.399848243498
AGR,USA,19323.48664275277
AGR,RUS,4818.291220389668
AGR,EUR,55773.95957867339
AGR,XOE,16428.132373647528
AGR,OPC,26505.008258108486
AGR,SAS,8317.383791471622
AGR,XLC,6913.710187188961
AGR,ROW,16531.051668063643
OXT,CHN,2.5471049569759954
OXT,XEA,168.44472867782264
OXT,USA,109.86381529743645
OXT,RUS,9.229349136352539
OXT,EUR,756.7942993752658
OXT,XOE,74.39894106984138
OXT,OPC,36.8738979990012
OXT,XLC,9.685563163148638
OXT,ROW,756.5155739367241
EIT,CHN,11066.73395254151
EIT,XEA,35213.46553816956
EIT,USA,93822.42782207271
EIT,RUS,23819.351974137247
EIT,EUR,246349.31914348132
EIT,XOE,45906.17588019738
EIT,OPC,53221.751525110434
EIT,SAS,10371.31880343831
EIT,XLC,39434.00733388888
EIT,ROW,46170.29787232768
XMN,CHN,61519.56583759307
XMN,XEA,153763.52601624918
XMN,USA,516034.7514293858
XMN,RUS,95852.57634631258
XMN,EUR,1135489.095637502
XMN,XOE,280816.2999063302
XMN,OPC,219963.68648229103
XMN,SAS,53232.686824277764
XMN,XLC,132799.50277721472
XMN,ROW,183880.49533432067
SRV,CHN,29280.074430653858
SRV,XEA,63155.39533683362
SRV,USA,81398.3687137018
SRV,RUS,26699.778974949208
SRV,EUR,488502.05372111296
SRV,XOE,111225.92653124622
SRV,OPC,65114.34558338791
SRV,SAS,21432.06786017984
SRV,XLC,22304.03802667223
SRV,ROW,41239.977494753235
ELY,CHN,233.8286884085972
ELY,XEA,1322.9467206533066
ELY,USA,1961.308842946236
ELY,RUS,48.68896526123674
ELY,EUR,14402.251423380403
ELY,XOE,422.31469446009146
ELY,OPC,701.553720707341
ELY,SAS,117.81074600455615
ELY,XLC,324.5321333987329
ELY,ROW,3367.309800647579
