COMM,SRC,DST,value
FRS,CHN,XEA,21.712619212553133
FRS,CHN,USA,57.78630046145693
FRS,CHN,RUS,1.11756812368065
FRS,CHN,EUR,80.50825737686219
FRS,CHN,XOE,88.10033045148553
FRS,CHN,OPC,6.286109152151892
FRS,CHN,SAS,29.3332621141263
FRS,CHN,XLC,3.2664424983300444
FRS,CHN,ROW,5.625062147419277
FRS,XEA,CHN,1824.0719073597202
FRS,XEA,XEA,662.2013258993677
FRS,XEA,USA,27.047776604529947
FRS,XEA,RUS,1.0310292314431044
FRS,XEA,EUR,87.7098031583515
FRS,XEA,XOE,236.1854489220174
FRS,XEA,OPC,10.104361340935602
FRS,XEA,SAS,1348.006949964187
FRS,XEA,XLC,4.122325161532224
FRS,XEA,ROW,12.200181410575514
FRS,USA,CHN,1136.4745611740846
FRS,USA,XEA,91.7925079811083
FRS,USA,RUS,6.144021711328911
FRS,USA,EUR,250.26769444024833
FRS,USA,XOE,1057.772035857891
FRS,USA,OPC,38.11062656111066
FRS,USA,SAS,14.786768715790465
FRS,USA,XLC,62.489029124023645
FRS,USA,ROW,22.83818155882178
FRS,RUS,CHN,1721.3960457400935
FRS,RUS,XEA,0.5444066586357542
FRS,RUS,USA,0.15584120708887914
FRS,RUS,EUR,404.3769418505109
FRS,RUS,XOE,162.25802946668435
FRS,RUS,OPC,2.326485687711381
FRS,RUS,SAS,0.025457524948375207
FRS,RUS,XLC,0.029020043367977345
FRS,RUS,ROW,49.57562642196713
FRS,EUR,CHN,344.37843753531826
FRS,EUR,XEA,52.22219639098012
FRS,EUR,USA,105.8465972928314
FRS,EUR,RUS,43.610959710222254
FRS,EUR,EUR,5510.743146365529
FRS,EUR,XOE,42.450904544930516
FRS,EUR,OPC,298.7270695160043
FRS,EUR,SAS,48.064298667707554
FRS,EUR,XLC,23.91854663561176
FRS,EUR,ROW,142.2592488359392
FRS,XOE,CHN,2104.8712584375253
FRS,XOE,XEA,50.24223351025088
FRS,XOE,USA,152.28889938781055
FRS,XOE,RUS,0.3085852588077553
FRS,XOE,EUR,35.946930613943806
FRS,XOE,XOE,1117.1489611610796
FRS,XOE,OPC,5.401221428575556
FRS,XOE,SAS,260.2112158266398
FRS,XOE,XLC,6.823631896853816
FRS,XOE,ROW,14.104266103695497
