variable,value
"qint[AGR-a,CHN]",1.0000000103610511
"qint[FRS-a,CHN]",0.9999999923700523
"qint[COA-a,CHN]",1.0000000002397367
"qint[OIL-a,CHN]",1.0000000001449747
"qint[GAS-a,CHN]",0.9999994666782253
"qint[OXT-a,CHN]",0.9999999970661549
"qint[EIT-a,CHN]",0.999999971581866
"qint[XMN-a,CHN]",0.9999999971389398
"qint[P_C-a,CHN]",0.9999986928414392
"qint[ETD-a,CHN]",0.9998603639935114
"qint[CLP-a,CHN]",1.0000004545294021
"qint[OLP-a,CHN]",1.0021233318462548
"qint[GSP-a,CHN]",0.999992087667462
"qint[NUC-a,CHN]",1.000647536267336
"qint[HYD-a,CHN]",1.0005106785382918
"qint[SOL-a,CHN]",0.9345900539129947
"qint[WND-a,CHN]",1.0022554282017382
"qint[XEL-a,CHN]",0.9963412254413184
"qint[SRV-a,CHN]",0.9999999092512615
"qint[AGR-a,XEA]",0.9999999575381384
"qint[FRS-a,XEA]",0.999999989256471
"qint[COA-a,XEA]",0.9999999991893759
"qint[OIL-a,XEA]",0.999999994527689
"qint[GAS-a,XEA]",0.9999999975285716
"qint[OXT-a,XEA]",1.0000000231481745
"qint[EIT-a,XEA]",0.9999999454541163
"qint[XMN-a,XEA]",0.9999999158703832
"qint[P_C-a,XEA]",0.9999997861479992
"qint[ETD-a,XEA]",1.0003040613007588
"qint[CLP-a,XEA]",0.9999999520560453
"qint[OLP-a,XEA]",1.0000410535747617
"qint[GSP-a,XEA]",0.9999999098887876
"qint[NUC-a,XEA]",0.9975857859766016
"qint[HYD-a,XEA]",0.9997539319606162
"qint[SOL-a,XEA]",1.6172698329881285
"qint[WND-a,XEA]",0.9040239468859793
"qint[XEL-a,XEA]",0.9961198264102064
"qint[SRV-a,XEA]",1.0000002932839114
"qint[AGR-a,USA]",1.000000030304995
"qint[FRS-a,USA]",1.0000001520046555
"qint[COA-a,USA]",1.0000000000027962
"qint[OIL-a,USA]",1.00000000016189
"qint[GAS-a,USA]",0.9999999991500726
"qint[OXT-a,USA]",1.0000000422924449
"qint[EIT-a,USA]",1.0000000614215812
"qint[XMN-a,USA]",1.0000001264187304
"qint[P_C-a,USA]",1.000000394509304
"qint[ETD-a,USA]",1.0003541232555389
"qint[CLP-a,USA]",0.9999998967651749
"qint[OLP-a,USA]",0.9924547222675535
"qint[GSP-a,USA]",0.999999445680163
"qint[NUC-a,USA]",0.998538072085489
"qint[HYD-a,USA]",1.0021632375614857
"qint[SOL-a,USA]",1.0077175900359931
"qint[WND-a,USA]",0.9896939313768826
"qint[XEL-a,USA]",1.0142827527790421
"qint[SRV-a,USA]",1.0000001859321674
"qint[AGR-a,RUS]",1.0000000581094575
"qint[FRS-a,RUS]",1.0000000100889688
"qint[COA-a,RUS]",0.9999999999684706
"qint[OIL-a,RUS]",0.9999999999814515
"qint[GAS-a,RUS]",0.9999999999617006
"qint[OXT-a,RUS]",0.9999999908344975
"qint[EIT-a,RUS]",1.0000000159345195
"qint[XMN-a,RUS]",1.0000000360442471
"qint[P_C-a,RUS]",1.000002033587482
"qint[ETD-a,RUS]",1.000057971143689
"qint[CLP-a,RUS]",0.9999990348407144
"qint[OLP-a,RUS]",0.9995481798216415
"qint[GSP-a,RUS]",0.9999997162029518
"qint[NUC-a,RUS]",0.9989796660118181
"qint[HYD-a,RUS]",0.9971487504625828
"qint[SOL-a,RUS]",0.0
"qint[WND-a,RUS]",112.43872825085705
"qint[XEL-a,RUS]",1.057586285392603
"qint[SRV-a,RUS]",0.9999999762203593
"qint[AGR-a,EUR]",0.9999999084344907
"qint[FRS-a,EUR]",0.99999999572403
"qint[COA-a,EUR]",0.999999999813323
"qint[OIL-a,EUR]",0.9999999978130218
"qint[GAS-a,EUR]",0.9999999945858027
"qint[OXT-a,EUR]",0.9999999876629102
"qint[EIT-a,EUR]",0.9999999390077574
"qint[XMN-a,EUR]",0.9999998241977224
"qint[P_C-a,EUR]",0.9999999604808936
"qint[ETD-a,EUR]",1.0000453112884826
"qint[CLP-a,EUR]",1.0000002495637736
"qint[OLP-a,EUR]",1.0000010629937448
"qint[GSP-a,EUR]",1.0000000341571507
"qint[NUC-a,EUR]",0.9999306721625294
"qint[HYD-a,EUR]",1.0003940795665214
"qint[SOL-a,EUR]",0.9993889252262503
"qint[WND-a,EUR]",0.9999200666774465
"qint[XEL-a,EUR]",0.999861347627612
"qint[SRV-a,EUR]",0.9999999963704196
"qint[AGR-a,XOE]",0.999999961672453
"qint[FRS-a,XOE]",0.9999999982474891
"qint[COA-a,XOE]",1.000000000102234
"qint[OIL-a,XOE]",0.9999999999202613
"qint[GAS-a,XOE]",1.0000000023047526
"qint[OXT-a,XOE]",1.0000000173720693
"qint[EIT-a,XOE]",0.9999998887450291
"qint[XMN-a,XOE]",0.9999998805033304
"qint[P_C-a,XOE]",0.9999996853946838
"qint[ETD-a,XOE]",1.0000327768064874
"qint[CLP-a,XOE]",1.0000000167440446
"qint[OLP-a,XOE]",1.0000151103398647
"qint[GSP-a,XOE]",1.0000002454627852
"qint[NUC-a,XOE]",0.9994970375484993
"qint[HYD-a,XOE]",1.0000100979299835
"qint[SOL-a,XOE]",0.9956720410082666
"qint[WND-a,XOE]",1.0068277550831772
"qint[XEL-a,XOE]",0.999687103740793
"qint[SRV-a,XOE]",0.9999999189030396
"qint[AGR-a,OPC]",0.9999999766482597
"qint[FRS-a,OPC]",1.0000000848978243
"qint[COA-a,OPC]",1.0000000000012037
"qint[OIL-a,OPC]",1.0000000000773583
"qint[GAS-a,OPC]",1.0000000001738587
"qint[OXT-a,OPC]",1.000000000973612
"qint[EIT-a,OPC]",0.9999999623532112
"qint[XMN-a,OPC]",0.9999997601899256
"qint[P_C-a,OPC]",1.0000022504440826
"qint[ETD-a,OPC]",1.0011137787869266
"qint[CLP-a,OPC]",0.9999969731369114
"qint[OLP-a,OPC]",0.9999825453257872
"qint[GSP-a,OPC]",0.9999972155513291
"qint[NUC-a,OPC]",0.9714916907446292
"qint[HYD-a,OPC]",0.9967051876084325
"qint[SOL-a,OPC]",0.0
"qint[WND-a,OPC]",1.237983339541618
"qint[XEL-a,OPC]",0.9972284043765804
"qint[SRV-a,OPC]",1.0000002495303326
"qint[AGR-a,SAS]",1.000000002752795
"qint[FRS-a,SAS]",1.0000001406305052
"qint[COA-a,SAS]",0.9999999991627655
"qint[OIL-a,SAS]",0.9999999928840674
"qint[GAS-a,SAS]",0.999999997585258
"qint[OXT-a,SAS]",1.0000000003972296
"qint[EIT-a,SAS]",0.9999995359802281
"qint[XMN-a,SAS]",0.9999995427012894
"qint[P_C-a,SAS]",0.9999999276279556
"qint[ETD-a,SAS]",1.0000991058607358
